Team, Nick, ECode, EventName, StartDate
45, TechnoKats Robotics Team, 2016arc, Archimedes Division, 2016-04-27
45, TechnoKats Robotics Team, 2016incmp, Indiana State Championship, 2016-04-14
45, TechnoKats Robotics Team, 2016inpmh, IN District - Perry Meridian Event, 2016-03-24
45, TechnoKats Robotics Team, 2016inwla, IN District - Tippecanoe Event, 2016-03-11
107, Team R.O.B.O.T.I.C.S., 2016arc, Archimedes Division, 2016-04-27
107, Team R.O.B.O.T.I.C.S., 2016micmp, Michigan State Championship, 2016-04-13
107, Team R.O.B.O.T.I.C.S., 2016mista, FIM District - Standish-Sterling Event, 2016-03-03
107, Team R.O.B.O.T.I.C.S., 2016miwmi, FIM District - West Michigan Event, 2016-03-24
180, S.P.A.M., 2016arc, Archimedes Division, 2016-04-27
180, S.P.A.M., 2016flor, Orlando Regional, 2016-03-09
180, S.P.A.M., 2016flwp, South Florida Regional , 2016-03-30
207, METALCRAFTERS, 2016arc, Archimedes Division, 2016-04-27
207, METALCRAFTERS, 2016calb, Los Angeles Regional, 2016-03-09
207, METALCRAFTERS, 2016cave, Ventura Regional, 2016-03-23
236, Techno-Ticks, 2016arc, Archimedes Division, 2016-04-27
236, Techno-Ticks, 2016cthar, NE District - Hartford Event, 2016-04-01
236, Techno-Ticks, 2016ctwat, NE District - Waterbury Event, 2016-03-04
401, Copperhead Robotics, 2016arc, Archimedes Division, 2016-04-27
401, Copperhead Robotics, 2016chcmp, FIRST Chesapeake District Championship sponsored by Booz Allen Hamilton, 2016-04-06
401, Copperhead Robotics, 2016vabla, CHS District - Southwest Virginia Event, 2016-03-11
401, Copperhead Robotics, 2016vados, CHS District - Central Virginia Event, 2016-03-24
498, Cobra Commanders, 2016arc, Archimedes Division, 2016-04-27
498, Cobra Commanders, 2016azfl, Arizona North Regional, 2016-03-09
498, Cobra Commanders, 2016azpx, Arizona West Regional, 2016-04-06
839, Rosie Robotics, 2016arc, Archimedes Division, 2016-04-27
839, Rosie Robotics, 2016cthar, NE District - Hartford Event, 2016-04-01
839, Rosie Robotics, 2016mawor, NE District - WPI Event, 2016-03-11
839, Rosie Robotics, 2016necmp, New England District Championship, 2016-04-13
980, ThunderBots, 2016arc, Archimedes Division, 2016-04-27
980, ThunderBots, 2016calb, Los Angeles Regional, 2016-03-09
980, ThunderBots, 2016cave, Ventura Regional, 2016-03-23
999, MechaRAMS, 2016arc, Archimedes Division, 2016-04-27
999, MechaRAMS, 2016cthar, NE District - Hartford Event, 2016-04-01
999, MechaRAMS, 2016ctwat, NE District - Waterbury Event, 2016-03-04
999, MechaRAMS, 2016necmp, New England District Championship, 2016-04-13
1208, Metool Brigade, 2016arc, Archimedes Division, 2016-04-27
1208, Metool Brigade, 2016iacf, Iowa Regional, 2016-03-23
1208, Metool Brigade, 2016mosl, St. Louis Regional, 2016-03-09
1257, Parallel Universe, 2016arc, Archimedes Division, 2016-04-27
1257, Parallel Universe, 2016mrcmp, Mid-Atlantic Robotics District Championship, 2016-04-13
1257, Parallel Universe, 2016njbri, MAR District - Bridgewater-Raritan Event, 2016-04-01
1257, Parallel Universe, 2016njfla, MAR District - Mt. Olive Event, 2016-03-04
1310, Runnymede Robotics, 2016arc, Archimedes Division, 2016-04-27
1310, Runnymede Robotics, 2016onnb, North Bay Regional, 2016-03-23
1310, Runnymede Robotics, 2016onto2, Greater Toronto Central Regional, 2016-03-02
1318, Issaquah Robotics Society, 2016arc, Archimedes Division, 2016-04-27
1318, Issaquah Robotics Society, 2016orphi, PNW District - Philomath Event, 2016-03-24
1318, Issaquah Robotics Society, 2016pncmp, Pacific Northwest District Championship sponsored by Autodesk, 2016-04-06
1318, Issaquah Robotics Society, 2016waamv, PNW District - Auburn Mountainview Event, 2016-03-03
1318, Issaquah Robotics Society, 2016waell, PNW District - Central Washington University Event, 2016-03-17
1325, Inverse Paradox, 2016arc, Archimedes Division, 2016-04-27
1325, Inverse Paradox, 2016onnb, North Bay Regional, 2016-03-23
1325, Inverse Paradox, 2016onto2, Greater Toronto Central Regional, 2016-03-02
1325, Inverse Paradox, 2016onto, Greater Toronto East Regional , 2016-03-09
1391, The METAL MOOSE, 2016arc, Archimedes Division, 2016-04-27
1391, The METAL MOOSE, 2016mrcmp, Mid-Atlantic Robotics District Championship, 2016-04-13
1391, The METAL MOOSE, 2016pahat, MAR District - Hatboro-Horsham Event, 2016-03-04
1391, The METAL MOOSE, 2016paphi, MAR District - Springside Chestnut Hill Event, 2016-03-18
1391, The METAL MOOSE, 2016pawch, MAR District - Westtown Event, 2016-04-01
1501, Team THRUST, 2016arc, Archimedes Division, 2016-04-27
1501, Team THRUST, 2016incmp, Indiana State Championship, 2016-04-14
1501, Team THRUST, 2016inpmh, IN District - Perry Meridian Event, 2016-03-24
1501, Team THRUST, 2016inwla, IN District - Tippecanoe Event, 2016-03-11
1501, Team THRUST, 2016ncmcl, NC District - Guilford County Event, 2016-03-04
1540, Flaming Chickens, 2016arc, Archimedes Division, 2016-04-27
1540, Flaming Chickens, 2016orore, PNW District - Clackamas Academy of Industrial Science Event, 2016-03-31
1540, Flaming Chickens, 2016orwil, PNW District - Wilsonville Event, 2016-03-10
1540, Flaming Chickens, 2016pncmp, Pacific Northwest District Championship sponsored by Autodesk, 2016-04-06
1629, Garrett Coalition (GaCo), 2016arc, Archimedes Division, 2016-04-27
1629, Garrett Coalition (GaCo), 2016chcmp, FIRST Chesapeake District Championship sponsored by Booz Allen Hamilton, 2016-04-06
1629, Garrett Coalition (GaCo), 2016mdedg, CHS District - Central Maryland Event, 2016-03-24
1629, Garrett Coalition (GaCo), 2016vahay, CHS District - Northern Virginia Event, 2016-03-04
1671, Buchanan Bird Brains, 2016arc, Archimedes Division, 2016-04-27
1671, Buchanan Bird Brains, 2016cada, Sacramento Regional, 2016-03-23
1671, Buchanan Bird Brains, 2016cama, Central Valley Regional, 2016-03-10
1747, Harrison Boiler Robotics, 2016arc, Archimedes Division, 2016-04-27
1747, Harrison Boiler Robotics, 2016incmp, Indiana State Championship, 2016-04-14
1747, Harrison Boiler Robotics, 2016inpmh, IN District - Perry Meridian Event, 2016-03-24
1747, Harrison Boiler Robotics, 2016inwch, IN District - Walker Warren Event, 2016-03-18
1747, Harrison Boiler Robotics, 2016inwla, IN District - Tippecanoe Event, 2016-03-11
1768, Robo Chiefs, 2016arc, Archimedes Division, 2016-04-27
1768, Robo Chiefs, 2016mabos, NE District - Boston Event, 2016-04-01
1768, Robo Chiefs, 2016mawor, NE District - WPI Event, 2016-03-11
1768, Robo Chiefs, 2016necmp, New England District Championship, 2016-04-13
1768, Robo Chiefs, 2016ripro, NE District - Rhode Island Event, 2016-03-24
1923, The MidKnight Inventors, 2016arc, Archimedes Division, 2016-04-27
1923, The MidKnight Inventors, 2016mrcmp, Mid-Atlantic Robotics District Championship, 2016-04-13
1923, The MidKnight Inventors, 2016njfla, MAR District - Mt. Olive Event, 2016-03-04
1923, The MidKnight Inventors, 2016njski, MAR District - Montgomery Event, 2016-04-08
1973, Brighton Burning Tiger, 2016arc, Archimedes Division, 2016-04-27
1973, Brighton Burning Tiger, 2016mawor, NE District - WPI Event, 2016-03-11
1973, Brighton Burning Tiger, 2016ripro, NE District - Rhode Island Event, 2016-03-24
1986, Team Titanium, 2016arc, Archimedes Division, 2016-04-27
1986, Team Titanium, 2016mokc, Greater Kansas City Regional, 2016-03-09
1986, Team Titanium, 2016tnkn, Smoky Mountains Regional, 2016-03-30
2064, The Panther Project, 2016arc, Archimedes Division, 2016-04-27
2064, The Panther Project, 2016ctwat, NE District - Waterbury Event, 2016-03-04
2064, The Panther Project, 2016necmp, New England District Championship, 2016-04-13
2064, The Panther Project, 2016ripro, NE District - Rhode Island Event, 2016-03-24
2338, Gear It Forward, 2016arc, Archimedes Division, 2016-04-27
2338, Gear It Forward, 2016arlr, Arkansas Rock City Regional, 2016-03-09
2338, Gear It Forward, 2016ilch, Midwest Regional, 2016-03-30
2586, Copper Bots, 2016arc, Archimedes Division, 2016-04-27
2586, Copper Bots, 2016micmp, Michigan State Championship, 2016-04-13
2586, Copper Bots, 2016miesc, FIM District - Escanaba Event, 2016-03-17
2586, Copper Bots, 2016milak, FIM District - Lakeview Event, 2016-03-10
2637, Phantom Catz, 2016arc, Archimedes Division, 2016-04-27
2637, Phantom Catz, 2016calb, Los Angeles Regional, 2016-03-09
2637, Phantom Catz, 2016casd, San Diego Regional, 2016-03-02
2881, Lady Cans, 2016arc, Archimedes Division, 2016-04-27
2881, Lady Cans, 2016txho, Lone Star Regional, 2016-04-06
2881, Lady Cans, 2016txsa, Alamo Regional sponsored by Rackspace Hosting, 2016-03-09
3098, The Captains, 2016arc, Archimedes Division, 2016-04-27
3098, The Captains, 2016micen, FIM District - Center Line Event, 2016-03-17
3098, The Captains, 2016micmp, Michigan State Championship, 2016-04-13
3098, The Captains, 2016miwat, FIM District - Waterford Event, 2016-03-03
3102, Tech-No-Tigers, 2016arc, Archimedes Division, 2016-04-27
3102, Tech-No-Tigers, 2016mndu, Lake Superior Regional, 2016-03-02
3102, Tech-No-Tigers, 2016wimi, Wisconsin Regional, 2016-03-23
3135, Robotic Colonels, 2016arc, Archimedes Division, 2016-04-27
3135, Robotic Colonels, 2016ilch, Midwest Regional, 2016-03-30
3166, First Year Ravens, 2016arc, Archimedes Division, 2016-04-27
3166, First Year Ravens, 2016utwv, Utah Regional, 2016-03-16
3211, The Y Team, 2016abca, Western Canada Regional, 2016-04-03
3211, The Y Team, 2016arc, Archimedes Division, 2016-04-27
3211, The Y Team, 2016ista, Israel Regional, 2016-03-08
3389, TEC Tigers, 2016arc, Archimedes Division, 2016-04-27
3389, TEC Tigers, 2016chcmp, FIRST Chesapeake District Championship sponsored by Booz Allen Hamilton, 2016-04-06
3389, TEC Tigers, 2016mdedg, CHS District - Central Maryland Event, 2016-03-24
3389, TEC Tigers, 2016vapor, CHS District - Hampton Roads Event, 2016-03-18
3527, Tec Balam Esmeralda, 2016arc, Archimedes Division, 2016-04-27
3527, Tec Balam Esmeralda, 2016mxmc, Mexico City Regional , 2016-03-09
3533, Mékano, 2016arc, Archimedes Division, 2016-04-27
3533, Mékano, 2016qcmo, FRC Festival de Robotique - Montreal Regional, 2016-03-30
3534, House of Cards, 2016arc, Archimedes Division, 2016-04-27
3534, House of Cards, 2016micmp, Michigan State Championship, 2016-04-13
3534, House of Cards, 2016mike2, FIM District - Kettering University Event #2, 2016-03-10
