Team,EventKey,Award
1923, 2015njfla, Judges Award
1923, 2012njf, Team Spirit
1923, 2014mrcmp, Deans List Finalist
1923, 2014cmp, FIRST Deans List Award
1923, 2015mrcmp, Deans List Finalist
1923, 2015njnbr, District Chairmans Award
1923, 2016mrcmp, Regional Chairmans Award
1923, 2014njfla, Creativity
1923, 2016njski, Entrepreneurship
1923, 2015nytr, Woodie Flowers Finalist
1923, 2015nytr, Regional Engineering Inspiration
1923, 2010nj, Deans List Finalist
1923, 2012pah, Regional Engineering Inspiration?
1923, 2010ma, Regional Engineering Inspiration?
1923, 2015cur, Championship Subdivision Winner
1923, 2011ct, Winner
1923, 2011ct, Gracious Professionalism
1923, 2011ct, Coopertition Award
1923, 2009pa, Judges Award
1923, 2016njfla, District Chairmans Award
1540, 2009nv, Website Award
1540, 2012cmp, FIRST Deans List Award
1540, 2015orore, District Chairmans Award
1540, 2015orore, District Finalist
1540, 2016orore, District Event Winner
1540, 2016orore, GM Industrial Design
1540, 2008or, Regional Winner
1540, 2008or, Website Award
1540, 2008or, Regional Engineering Inspiration
1540, 2011sdc, Regional Finalist
1540, 2011sdc, Innovation in Controls
1540, 2016orwil, District Chairmans Award
1540, 2013okok, Regional Finalist
1540, 2015orwil, Safety
1540, 2015orwil, District Engineering Inspiration
1540, 2014orosu, District Chairmans Award
1540, 2014arc, Innovation in Controls
1540, 2010or, Regional Chairmans Award
1540, 2010or, Deans List Finalist
1540, 2012ok, Regional Chairmans Award
1540, 2012ok, Regional Winner
1540, 2013orpo, Regional Chairmans Award
1540, 2014pncmp, Regional Chairmans Award
1540, 2015pncmp, Regional Chairmans Award
1540, 2015pncmp, Deans List Finalist
1540, 2016pncmp, Regional Chairmans Award
1540, 2012or, Imagery
1540, 2012or, Woodie Flowers Finalist
1540, 2012or, Deans List Finalist
1540, 2007sdc, Quality
1540, 2014orwil, Entrepreneurship
1540, 2009or, Website Award
1540, 2009or, Regional Engineering Inspiration
1540, 2008nv, Creativity
1540, 2007or, Regional Chairmans Award
1540, 2007or, Regional Finalist
1540, 2014orore, Quality
1540, 2005cmp, Website Design Award
1540, 2010co, Winner
1540, 2010co, Innovation in Controls
1671, 2014casa, Regional Finalist
1671, 2014casa, Entrepreneurship
1671, 2014cmp, FIRST Deans List Award
1671, 2010cmp, Autodesk Award
1671, 2015new, Championship Subdivision Winner
1671, 2009sac, Team Spirit
1671, 2009sac, Autodesk Award
1671, 2015casa, Regional Chairmans Award
1671, 2010ca, Gracious Professionalism
1671, 2010ca, Autodesk Award
1671, 2014cama, Regional Chairmans Award
1671, 2014cama, Regional Finalist
1671, 2014cama, Deans List Finalist
1671, 2015cmp, Championship Winner
1671, 2011sac, Delphi Excellence in Engineering
1671, 2011sac, Autodesk Award
1671, 2015mttd, Winner
1671, 2015cama, Delphi Excellence in Engineering
1671, 2015cama, Woodie Flowers Finalist
1671, 2016cama, Regional Engineering Inspiration
1671, 2016cada, Regional Finalist
1671, 2016cada, Creativity
1671, 2011cmp, Autodesk Award
1671, 2008sdc, Autodesk Award
1671, 2013cama, Regional Engineering Inspiration?
3211, 2014ista, Regional Chairmans Award
3211, 2016ista, Gracious Professionalism
3211, 2016ista, Volunteer of the Year
3211, 2016abca, Regional Chairmans Award
3211, 2015ista, Gracious Professionalism
3211, 2015ista, Regional Finalist
3211, 2012is, Regional Finalist
3211, 2012is, Entrepreneurship
3211, 2013gal, Judges Award
3211, 2013ista, Regional Chairmans Award
3211, 2014arc, Judges Award
6082, 2016abca, Highest Rookie Seed
6082, 2016abca, Regional Finalist
6082, 2016abca, Innovation in Controls
6082, 2016abca, Wildcard
1325, 2009on, Autodesk Award
1325, 2011on2, Regional Finalist
1325, 2016onnb, Regional Finalist
1325, 2016onnb, Entrepreneurship
1325, 2015onto, Regional Chairmans Award
1325, 2015onto, Regional Finalist
1325, 2015onwi, Regional Finalist
1325, 2015onwi, Entrepreneurship
1325, 2015cars, Championship Subdivision Winner
1325, 2016onto2, Woodie Flowers Finalist
1325, 2016onto2, Regional Engineering Inspiration
1325, 2010on, Autodesk Award
1325, 2015onto2, Judges Award
1325, 2014onwi, Creativity
1325, 2016onto, Team Spirit
1325, 2013onto, Regional Winner
2064, 2016ctwat, District Finalist
2064, 2007ct, Rookie Inspiration
2064, 2014ctgro, Regional Finalist
2064, 2013ctha, Creativity
2064, 2014ctsou, GM Industrial Design
2064, 2015cthar, District Event Winner
401, 2012nc, Quality
401, 2006va, Safety
401, 2005va, Regional Winner
401, 2005va, Quality
401, 2016vados, District Finalist
401, 2001cur, Division Finalist
401, 2010nc, Deans List Finalist
401, 2013scmb, Regional Finalist
401, 2001va, Regional Finalist
401, 2016vabla, Imagery
401, 2008va, Delphi Excellence in Engineering
3602, 2013mitvc, District Finalist
3602, 2014miesc, Regional Engineering Inspiration?
3602, 2015mista, District Event Winner
3602, 2015mista, Delphi Excellence in Engineering
3602, 2016mista, District Engineering Inspiration
