Team,EventKey,Award
1024, 2003mo, Rookie All-Star
1024, 2016inpmh, District Event Winner
1024, 2015incmp, District Championship Winner
1024, 2015incmp, Quality
1024, 2015incmp, Volunteer of the Year
1024, 2015inkok, GM Industrial Design
1024, 2010dc, Imagery
1024, 2005in, Regional Winner
1024, 2005in, Imagery
1024, 2004mi, Regional Winner
1024, 2008arc, Division Winner
1024, 2014inth, Quality
1024, 2014inth, Regional Finalist
1024, 2009in, Regional Winner
1024, 2012in, Imagery
1024, 2012in, Woodie Flowers Finalist
1024, 2004mo, Imagery
1024, 2009wi, Creativity
1024, 2012ohc, Gracious Professionalism
1024, 2012ohc, Imagery
1024, 2008ein, Innovation in Controls
1024, 2013inth, Imagery
1024, 2014scmb, Quality
1024, 2016inwch, District Event Winner
1024, 2016inwch, GM Industrial Design
1024, 2008in, Regional Winner
1024, 2008in, Imagery
1024, 2015inwla, District Event Winner
1024, 2007in, Imagery
1024, 2013inwl, Imagery
1024, 2016inwla, District Event Winner
1024, 2016inwla, Quality
1024, 2015inind, District Finalist
1024, 2015inind, Team Spirit
1024, 2008il, Regional Winner
1024, 2008il, Quality
1024, 2016incmp, District Championship Winner
1024, 2016incmp, GM Industrial Design
1024, 2016incmp, Woodie Flowers Finalist
1024, 2010in, Imagery
1024, 2006in, Quality
1024, 2006in, Imagery
1024, 2008oh, Regional Winner
1024, 2008oh, GM Industrial Design
6144, 2016txlu, Rookie All-Star
3970, 2012caf, Rookie All-Star
3970, 2012caf, Highest Rookie Seed
3970, 2012sac, Highest Rookie Seed
3970, 2012sac, Rookie Inspiration
3970, 2013cama, Regional Finalist
3970, 2014cama, Regional Finalist
3970, 2015cave, Regional Finalist
3970, 2016cama, Regional Winner
5931, 2016idbo, Regional Winner
5931, 2016idbo, Rookie Inspiration
1156, 2016iacf, GM Industrial Design
1156, 2008br, Regional Winner
1156, 2008br, Regional Engineering Inspiration
1156, 2015nyli, Regional Chairmans Award
1156, 2016nyli, Regional Winner
1156, 2016nyli, Quality
1156, 2007br, Gracious Professionalism
1156, 2015vari, Team Spirit
1156, 2009ny, Judges Award
1156, 2004nj, Judges Award
1156, 2014nyli, Regional Winner
1156, 2014nyli, Entrepreneurship
1156, 2014nyny, Regional Finalist
1156, 2014nyny, Innovation in Controls
1156, 2003nj, Rookie All-Star
135, 2004il, Entrepreneurship
135, 2015incmp, Regional Chairmans Award
135, 2015inkok, District Chairmans Award
135, 2015inkok, District Event Winner
135, 2011cmp, Deans List
135, 2001gal, Division Finalist
135, 2005in, Quality
135, 2005in, Regional Finalist
135, 2001il, Regional Finalist
135, 2001il, Delphi Excellence in Engineering
135, 2014inth, Regional Winner
135, 1998il, Against All Odds Award
135, 2007in, Regional Engineering Inspiration
135, 2009new, Division Finalist
135, 2005oh, Quality
135, 2005oh, Regional Finalist
135, 2005oh, Entrepreneurship
135, 2005oh, Autodesk Award
135, 2016inpmh, District Engineering Inspiration
135, 2003il, Entrepreneurship
135, 2015inwla, Judges Award
135, 2000il, Featherweight in the Finals
135, 2016inwla, Judges Award
135, 2011wi, Woodie Flowers Award
135, 2011wi, Deans List Finalist
135, 2016incmp, Regional Engineering Inspiration
135, 2008mo, Autodesk Award
135, 2002il, Innovation in Controls
135, 2005new, Division Finalist
135, 1999mi, Best Offensive Round
135, 2014inwl, Regional Winner
135, 2014inwl, Judges Award
904, 2014misjo, Regional Finalist
904, 2013miwmi, District Winner
904, 2005mi, Judges Award
904, 2009gt, Regional Finalist
904, 2009gt, Innovation in Controls
904, 2009mi, Team Spirit
904, 2011swm, Creativity
904, 2008wi, Team Spirit
904, 2009gl, State Championship Finalist
904, 2006mi, Regional Engineering Inspiration?
904, 2005gl, Gracious Professionalism
904, 2012gt, Team Spirit
904, 2007il, Regional Winner
904, 2007il, Team Spirit
904, 2013mibed, Regional Winner
904, 2013misjo, Team Spirit
904, 2016miesc, GM Industrial Design
5897, 2016abca, Rookie All-Star
4362, 2016mihow, District Finalist
4362, 2016mihow, Creativity
4362, 2012migl, Rookie All-Star
4362, 2014miliv, GM Industrial Design
4362, 2014miliv, Regional Finalist
4362, 2014micmp, GM Industrial Design
4362, 2016mike2, Quality
4362, 2012wca, Rookie All-Star
4362, 2013miliv, Creativity
4362, 2015mihow, District Event Winner
4362, 2014mihow, Quality
11, 2012pa, Safety
11, 2012pa, Entrepreneurship
11, 1999cmp, Teacher Pioneer Award
11, 2008md, Regional Winner
11, 2011sc, Regional Chairmans Award
11, 2011sc, Entrepreneurship
11, 2011sc, Autodesk Award
11, 2011sc, Website Award
11, 2012sc, Delphi Excellence in Engineering
11, 2012sc, Website Award
11, 2015pahat, District Engineering Inspiration
11, 2012nj, Regional Chairmans Award
11, 2012nj, Website Award
11, 2016njfla, Delphi Excellence in Engineering
11, 2015njnbr, Judges Award
11, 2015njnbr, District Finalist
11, 2013scmb, Regional Winner
11, 2013scmb, Quality
11, 2007ny, Delphi Excellence in Engineering
11, 2005sc, Judges Award
11, 2005sc, Autodesk Award
11, 2013njbrg, Regional Chairmans Award
11, 1999nj, Outstanding Defense
11, 2014njfla, GM Industrial Design
11, 2011va, Delphi Excellence in Engineering
11, 2014mrcmp, Regional Winner
11, 2015hiho, Quality
11, 2006sc, Regional Winner
11, 2006sc, Imagery
11, 2015njfla, District Finalist
11, 2014paphi, GM Industrial Design
11, 2014hiho, Regional Chairmans Award
11, 2010nj, Innovation in Controls
11, 2016paphi, District Event Winner
11, 2016paphi, District Engineering Inspiration
11, 2002nj, Regional Finalist
11, 2016flwp, Regional Chairmans Award
11, 2004sc, Regional Winner
11, 2004sc, Team Spirit
11, 2012njf, Gracious Professionalism
11, 2012njf, Safety
11, 2008nj, Regional Finalist
11, 2008nj, Woodie Flowers Award
11, 2002on, Creativity
11, 2013njfla, District Winner
11, 2013njfla, GM Industrial Design
11, 2013mrcmp, Regional Finalist
525, 2014ohci, Innovation in Controls
525, 2011mn, Winner
525, 2011mn, Quality
525, 2011mn, Autodesk Award
525, 2011mn, Woodie Flowers Award
525, 2011mn, Website Award
525, 2016mnmi, Regional Winner
525, 2016mnmi, Quality
525, 2014ilil, Regional Winner
525, 2014ilil, Innovation in Controls
525, 2014ilil, Woodie Flowers Finalist
525, 2013mndu2, Regional Winner
525, 2013mndu2, Quality
525, 2013mndu2, Safety
525, 2010mn, Regional Finalist
525, 2010mn, Innovation in Controls
525, 2012mn, Regional Winner
525, 2012mn, GM Industrial Design
525, 2012mn, Website Award
525, 2009mn2, Judges Award
525, 2009kc, Gracious Professionalism
525, 2008mn, Regional Winner
525, 2008mn, Quality
525, 2008mn, Woodie Flowers Award
525, 2016iacf, Regional Chairmans Award
525, 2016iacf, Regional Winner
525, 2016iacf, Volunteer of the Year
525, 2011kc, Winner
525, 2011kc, Quality
525, 2015mndu2, Regional Winner
525, 2015mndu2, Imagery
525, 2010kc, Winner
525, 2013mnmi, Regional Chairmans Award
525, 2013mnmi, Regional Winner
525, 2013mnmi, Safety
525, 2013mnmi, Deans List Finalist
525, 2008mo, Quality
525, 2015mnmi, Regional Winner
525, 2015mnmi, Delphi Excellence in Engineering
525, 2015mnmi, Woodie Flowers Finalist
525, 2012kc, Gracious Professionalism
5895, 2016mrcmp, Highest Rookie Seed
5895, 2016njbri, Rookie All-Star
5895, 2016njbri, Highest Rookie Seed
5895, 2016njski, District Event Winner
5895, 2016njski, Highest Rookie Seed
5895, 2016njski, GM Industrial Design
2067, 2012ct, Regional Finalist
2067, 2015ctwat, Judges Award
2067, 2014necmp, Regional Chairmans Award
2067, 2012wor, Regional Winner
2067, 2012wor, Imagery
2067, 2009ct, Woodie Flowers Award
2067, 2014ctsou, Creativity
2067, 2015cthar, District Finalist
2067, 2015cthar, District Engineering Inspiration
2067, 2014cthar, District Chairmans Award
2067, 2013ctha, Regional Finalist
2067, 2015necmp, District Championship Winner
