Team, Nick, ECode, EventName, StartDate
33, Killer Bees, 2016micmp, Michigan State Championship, 2016-04-13
33, Killer Bees, 2016mitry, FIM District - Troy Event, 2016-03-31
33, Killer Bees, 2016miwat, FIM District - Waterford Event, 2016-03-03
33, Killer Bees, 2016tes, Tesla Division, 2016-04-27
66, Grizzly Robotics, 2016miann, FIM District - Ann Arbor Skyline Event, 2016-04-07
66, Grizzly Robotics, 2016micmp, Michigan State Championship, 2016-04-13
66, Grizzly Robotics, 2016misjo, FIM District - St. Joseph Event, 2016-03-10
66, Grizzly Robotics, 2016tes, Tesla Division, 2016-04-27
74, Team C.H.A.O.S., 2016inwch, IN District - Walker Warren Event, 2016-03-18
74, Team C.H.A.O.S., 2016micmp, Michigan State Championship, 2016-04-13
74, Team C.H.A.O.S., 2016mitvc, FIM District - Traverse City Event, 2016-04-07
74, Team C.H.A.O.S., 2016miwmi, FIM District - West Michigan Event, 2016-03-24
74, Team C.H.A.O.S., 2016tes, Tesla Division, 2016-04-27
111, WildStang, 2016ilch, Midwest Regional, 2016-03-30
111, WildStang, 2016ilpe, Central Illinois Regional, 2016-03-16
111, WildStang, 2016tes, Tesla Division, 2016-04-27
177, Bobcat Robotics, 2016cthar, NE District - Hartford Event, 2016-04-01
177, Bobcat Robotics, 2016ctwat, NE District - Waterbury Event, 2016-03-04
177, Bobcat Robotics, 2016necmp, New England District Championship, 2016-04-13
177, Bobcat Robotics, 2016tes, Tesla Division, 2016-04-27
181, Birds Of Prey, 2016cthar, NE District - Hartford Event, 2016-04-01
181, Birds Of Prey, 2016manda, NE District - UMass-Dartmouth Event, 2016-03-18
181, Birds Of Prey, 2016necmp, New England District Championship, 2016-04-13
181, Birds Of Prey, 2016tes, Tesla Division, 2016-04-27
272, Cyber-Crusaders, 2016mrcmp, Mid-Atlantic Robotics District Championship, 2016-04-13
272, Cyber-Crusaders, 2016njski, MAR District - Montgomery Event, 2016-04-08
272, Cyber-Crusaders, 2016paphi, MAR District - Springside Chestnut Hill Event, 2016-03-18
272, Cyber-Crusaders, 2016pawch, MAR District - Westtown Event, 2016-04-01
272, Cyber-Crusaders, 2016tes, Tesla Division, 2016-04-27
