name|event_code|start_date|end_date|event_type_string|week
CHS District - Northern Virginia Event|vahay|2016-03-04|2016-03-06|District|1
FIM District - Kettering University Event #1|miket|2016-03-03|2016-03-05|District|1
FIM District - Southfield Event|misou|2016-03-03|2016-03-05|District|1
FIM District - Standish-Sterling Event|mista|2016-03-03|2016-03-05|District|1
FIM District - Waterford Event|miwat|2016-03-03|2016-03-05|District|1
MAR District - Hatboro-Horsham Event|pahat|2016-03-04|2016-03-06|District|1
MAR District - Mt. Olive Event|njfla|2016-03-04|2016-03-06|District|1
NC District - Guilford County Event|ncmcl|2016-03-04|2016-03-06|District|1
NE District - Granite State Event|nhgrs|2016-03-04|2016-03-06|District|1
NE District - Waterbury Event|ctwat|2016-03-04|2016-03-06|District|1
PNW District - Auburn Mountainview Event|waamv|2016-03-03|2016-03-05|District|1
PNW District - West Valley Event|waspo|2016-03-03|2016-03-05|District|1
Greater Toronto Central Regional|onto2|2016-03-02|2016-03-05|Regional|1
Lake Superior Regional|mndu|2016-03-02|2016-03-05|Regional|1
Northern Lights Regional|mndu2|2016-03-02|2016-03-05|Regional|1
Palmetto Regional|scmb|2016-02-24|2016-02-27|Regional|1
San Diego Regional|casd|2016-03-02|2016-03-05|Regional|1
CHS District - Greater DC Event|mdbet|2016-03-11|2016-03-13|District|2
CHS District - Southwest Virginia Event|vabla|2016-03-11|2016-03-13|District|2
FIM District - Kettering University Event #2|mike2|2016-03-10|2016-03-12|District|2
FIM District - Lakeview Event|milak|2016-03-10|2016-03-12|District|2
FIM District - St. Joseph Event|misjo|2016-03-10|2016-03-12|District|2
IN District - Tippecanoe Event|inwla|2016-03-11|2016-03-13|District|2
NC District - Wake County Event|ncral|2016-03-11|2016-03-13|District|2
NE District - North Shore Event|marea|2016-03-11|2016-03-13|District|2
NE District - WPI Event|mawor|2016-03-11|2016-03-13|District|2
PCH District - Columbus Event|gacol|2016-03-10|2016-03-12|District|2
