Week,Event,Match,Type,High,Low,Crossing,Reach
1,vahay,2016vahay_f1m1,f1,0, 0, 6, 0
1,vahay,2016vahay_f1m2,f1,0, 0, 6, 0
1,vahay,2016vahay_f1m3,f1,0, 0, 6, 0
1,vahay,2016vahay_qf1m1,qf,0, 0, 4, 1
1,vahay,2016vahay_qf1m2,qf,0, 1, 5, 1
1,vahay,2016vahay_qf2m1,qf,0, 0, 2, 3
1,vahay,2016vahay_qf2m2,qf,0, 0, 2, 3
1,vahay,2016vahay_qf3m1,qf,0, 0, 2, 4
1,vahay,2016vahay_qf3m2,qf,0, 0, 6, 0
1,vahay,2016vahay_qf4m1,qf,0, 0, 3, 3
1,vahay,2016vahay_qf4m2,qf,0, 0, 4, 2
1,vahay,2016vahay_qm1,qm,0, 0, 0, 1
1,vahay,2016vahay_qm10,qm,0, 0, 1, 2
1,vahay,2016vahay_qm11,qm,0, 0, 2, 0
1,vahay,2016vahay_qm12,qm,0, 0, 2, 2
1,vahay,2016vahay_qm13,qm,0, 0, 2, 0
1,vahay,2016vahay_qm14,qm,0, 0, 3, 1
1,vahay,2016vahay_qm15,qm,0, 0, 0, 1
1,vahay,2016vahay_qm16,qm,0, 0, 2, 2
1,vahay,2016vahay_qm17,qm,0, 0, 1, 0
1,vahay,2016vahay_qm18,qm,0, 0, 3, 2
1,vahay,2016vahay_qm19,qm,0, 0, 2, 2
1,vahay,2016vahay_qm2,qm,0, 0, 0, 0
1,vahay,2016vahay_qm20,qm,0, 0, 1, 2
1,vahay,2016vahay_qm21,qm,0, 0, 3, 2
1,vahay,2016vahay_qm22,qm,0, 0, 3, 3
1,vahay,2016vahay_qm23,qm,0, 0, 2, 1
1,vahay,2016vahay_qm24,qm,0, 0, 1, 2
1,vahay,2016vahay_qm25,qm,0, 0, 3, 2
1,vahay,2016vahay_qm26,qm,0, 0, 1, 0
1,vahay,2016vahay_qm27,qm,0, 0, 1, 3
1,vahay,2016vahay_qm28,qm,0, 1, 4, 0
1,vahay,2016vahay_qm29,qm,0, 0, 2, 0
1,vahay,2016vahay_qm3,qm,0, 0, 1, 1
1,vahay,2016vahay_qm30,qm,0, 0, 3, 0
1,vahay,2016vahay_qm31,qm,0, 0, 0, 3
1,vahay,2016vahay_qm32,qm,0, 0, 2, 0
1,vahay,2016vahay_qm33,qm,0, 0, 2, 2
1,vahay,2016vahay_qm34,qm,0, 0, 2, 3
1,vahay,2016vahay_qm35,qm,0, 0, 3, 2
1,vahay,2016vahay_qm36,qm,0, 0, 1, 2
1,vahay,2016vahay_qm37,qm,0, 0, 2, 2
1,vahay,2016vahay_qm38,qm,0, 0, 3, 0
1,vahay,2016vahay_qm39,qm,0, 0, 4, 1
1,vahay,2016vahay_qm4,qm,0, 0, 0, 0
1,vahay,2016vahay_qm40,qm,0, 0, 2, 2
1,vahay,2016vahay_qm41,qm,0, 0, 1, 2
1,vahay,2016vahay_qm42,qm,0, 0, 2, 1
1,vahay,2016vahay_qm43,qm,0, 0, 3, 1
1,vahay,2016vahay_qm44,qm,0, 0, 0, 3
1,vahay,2016vahay_qm45,qm,0, 0, 4, 0
1,vahay,2016vahay_qm46,qm,0, 0, 3, 2
1,vahay,2016vahay_qm47,qm,0, 0, 2, 1
1,vahay,2016vahay_qm48,qm,0, 0, 4, 1
1,vahay,2016vahay_qm49,qm,0, 0, 4, 0
1,vahay,2016vahay_qm5,qm,0, 0, 2, 0
1,vahay,2016vahay_qm50,qm,0, 0, 4, 1
1,vahay,2016vahay_qm51,qm,0, 0, 1, 1
1,vahay,2016vahay_qm52,qm,0, 0, 2, 1
1,vahay,2016vahay_qm53,qm,0, 0, 2, 0
1,vahay,2016vahay_qm54,qm,0, 0, 0, 1
1,vahay,2016vahay_qm55,qm,0, 0, 5, 0
1,vahay,2016vahay_qm56,qm,0, 0, 2, 2
1,vahay,2016vahay_qm57,qm,0, 0, 3, 1
1,vahay,2016vahay_qm58,qm,0, 0, 2, 3
1,vahay,2016vahay_qm59,qm,0, 0, 2, 2
1,vahay,2016vahay_qm6,qm,0, 0, 1, 1
1,vahay,2016vahay_qm60,qm,0, 0, 4, 1
1,vahay,2016vahay_qm61,qm,0, 0, 1, 2
1,vahay,2016vahay_qm62,qm,0, 1, 2, 2
1,vahay,2016vahay_qm63,qm,0, 0, 2, 1
1,vahay,2016vahay_qm64,qm,0, 0, 4, 1
1,vahay,2016vahay_qm65,qm,0, 0, 3, 1
1,vahay,2016vahay_qm66,qm,0, 0, 2, 2
1,vahay,2016vahay_qm67,qm,0, 0, 2, 2
1,vahay,2016vahay_qm68,qm,0, 0, 4, 0
1,vahay,2016vahay_qm69,qm,0, 0, 2, 2
1,vahay,2016vahay_qm7,qm,0, 0, 1, 1
1,vahay,2016vahay_qm70,qm,0, 0, 4, 2
1,vahay,2016vahay_qm71,qm,0, 0, 3, 2
1,vahay,2016vahay_qm72,qm,0, 0, 3, 1
1,vahay,2016vahay_qm73,qm,0, 0, 3, 2
1,vahay,2016vahay_qm74,qm,0, 0, 3, 1
1,vahay,2016vahay_qm75,qm,0, 0, 2, 1
1,vahay,2016vahay_qm76,qm,0, 0, 2, 3
1,vahay,2016vahay_qm77,qm,0, 0, 4, 1
1,vahay,2016vahay_qm78,qm,0, 1, 2, 3
1,vahay,2016vahay_qm8,qm,0, 0, 1, 0
1,vahay,2016vahay_qm9,qm,0, 0, 0, 1
1,vahay,2016vahay_sf1m1,sf,0, 0, 1, 4
1,vahay,2016vahay_sf1m2,sf,0, 0, 4, 0
1,vahay,2016vahay_sf2m1,sf,0, 0, 4, 2
1,vahay,2016vahay_sf2m2,sf,0, 0, 4, 2
1,vahay,2016vahay_sf2m3,sf,0, 0, 4, 1
1,miket,2016miket_f1m1,f1,0, 0, 3, 2
1,miket,2016miket_f1m2,f1,0, 0, 3, 2
1,miket,2016miket_qf1m1,qf,0, 0, 4, 2
1,miket,2016miket_qf1m2,qf,0, 0, 6, 0
1,miket,2016miket_qf2m1,qf,0, 0, 3, 3
1,miket,2016miket_qf2m2,qf,0, 1, 5, 1
1,miket,2016miket_qf3m1,qf,0, 0, 4, 1
1,miket,2016miket_qf3m2,qf,0, 0, 4, 2
1,miket,2016miket_qf3m3,qf,0, 0, 5, 1
1,miket,2016miket_qf4m1,qf,0, 0, 3, 3
1,miket,2016miket_qf4m2,qf,0, 0, 5, 1
1,miket,2016miket_qf4m3,qf,0, 0, 5, 1
1,miket,2016miket_qm1,qm,0, 0, 1, 3
1,miket,2016miket_qm10,qm,0, 0, 4, 1
1,miket,2016miket_qm11,qm,0, 0, 1, 3
1,miket,2016miket_qm12,qm,0, 0, 1, 4
1,miket,2016miket_qm13,qm,0, 0, 1, 0
1,miket,2016miket_qm14,qm,0, 0, 3, 1
1,miket,2016miket_qm15,qm,0, 0, 2, 2
1,miket,2016miket_qm16,qm,0, 0, 0, 3
1,miket,2016miket_qm17,qm,0, 0, 4, 2
1,miket,2016miket_qm18,qm,0, 0, 3, 1
1,miket,2016miket_qm19,qm,0, 0, 1, 3
1,miket,2016miket_qm2,qm,0, 0, 2, 2
1,miket,2016miket_qm20,qm,0, 0, 3, 0
1,miket,2016miket_qm21,qm,0, 0, 2, 1
1,miket,2016miket_qm22,qm,0, 0, 0, 4
1,miket,2016miket_qm23,qm,0, 0, 3, 2
1,miket,2016miket_qm24,qm,0, 0, 3, 1
1,miket,2016miket_qm25,qm,0, 0, 0, 3
1,miket,2016miket_qm26,qm,0, 0, 1, 5
1,miket,2016miket_qm27,qm,0, 0, 3, 1
1,miket,2016miket_qm28,qm,0, 0, 1, 1
1,miket,2016miket_qm29,qm,0, 0, 2, 3
1,miket,2016miket_qm3,qm,0, 0, 1, 2
1,miket,2016miket_qm30,qm,0, 0, 1, 2
1,miket,2016miket_qm31,qm,0, 0, 0, 4
1,miket,2016miket_qm32,qm,0, 0, 3, 0
1,miket,2016miket_qm33,qm,0, 0, 3, 3
1,miket,2016miket_qm34,qm,0, 0, 3, 0
1,miket,2016miket_qm35,qm,0, 0, 4, 2
1,miket,2016miket_qm36,qm,0, 0, 4, 1
1,miket,2016miket_qm37,qm,0, 0, 2, 1
1,miket,2016miket_qm38,qm,0, 0, 1, 1
1,miket,2016miket_qm39,qm,0, 0, 1, 3
1,miket,2016miket_qm4,qm,0, 0, 0, 2
1,miket,2016miket_qm40,qm,0, 0, 3, 3
1,miket,2016miket_qm41,qm,0, 0, 1, 3
1,miket,2016miket_qm42,qm,0, 0, 4, 0
1,miket,2016miket_qm43,qm,0, 0, 4, 1
1,miket,2016miket_qm44,qm,0, 0, 3, 2
1,miket,2016miket_qm45,qm,0, 0, 3, 1
1,miket,2016miket_qm46,qm,0, 0, 2, 2
1,miket,2016miket_qm47,qm,0, 0, 2, 3
1,miket,2016miket_qm48,qm,0, 0, 5, 0
1,miket,2016miket_qm49,qm,0, 0, 1, 1
1,miket,2016miket_qm5,qm,0, 0, 1, 1
1,miket,2016miket_qm50,qm,0, 0, 4, 2
1,miket,2016miket_qm51,qm,0, 0, 3, 2
1,miket,2016miket_qm52,qm,0, 0, 2, 2
1,miket,2016miket_qm53,qm,0, 0, 4, 2
1,miket,2016miket_qm54,qm,0, 0, 2, 2
1,miket,2016miket_qm55,qm,0, 0, 3, 2
1,miket,2016miket_qm56,qm,0, 0, 4, 1
1,miket,2016miket_qm57,qm,0, 0, 5, 0
1,miket,2016miket_qm58,qm,0, 0, 4, 1
1,miket,2016miket_qm59,qm,0, 0, 4, 1
1,miket,2016miket_qm6,qm,0, 0, 1, 2
1,miket,2016miket_qm60,qm,0, 0, 2, 3
1,miket,2016miket_qm61,qm,0, 0, 2, 3
1,miket,2016miket_qm62,qm,0, 0, 2, 1
1,miket,2016miket_qm63,qm,0, 1, 4, 2
1,miket,2016miket_qm64,qm,0, 0, 4, 2
1,miket,2016miket_qm65,qm,0, 0, 4, 2
1,miket,2016miket_qm66,qm,0, 0, 4, 2
1,miket,2016miket_qm67,qm,0, 0, 3, 2
1,miket,2016miket_qm68,qm,0, 0, 2, 2
1,miket,2016miket_qm69,qm,0, 0, 4, 1
1,miket,2016miket_qm7,qm,0, 0, 3, 2
1,miket,2016miket_qm70,qm,0, 0, 5, 0
1,miket,2016miket_qm71,qm,0, 0, 5, 0
1,miket,2016miket_qm72,qm,0, 0, 5, 1
1,miket,2016miket_qm73,qm,0, 0, 4, 2
1,miket,2016miket_qm74,qm,0, 0, 1, 3
1,miket,2016miket_qm75,qm,0, 0, 4, 1
1,miket,2016miket_qm76,qm,0, 0, 5, 0
1,miket,2016miket_qm77,qm,0, 0, 3, 2
1,miket,2016miket_qm78,qm,0, 0, 5, 1
1,miket,2016miket_qm79,qm,0, 0, 4, 1
1,miket,2016miket_qm8,qm,0, 0, 3, 1
1,miket,2016miket_qm80,qm,0, 0, 4, 1
1,miket,2016miket_qm9,qm,0, 0, 2, 1
1,miket,2016miket_sf1m1,sf,0, 0, 6, 0
1,miket,2016miket_sf1m2,sf,0, 0, 4, 1
1,miket,2016miket_sf1m3,sf,0, 1, 4, 2
1,miket,2016miket_sf2m1,sf,0, 0, 4, 2
1,miket,2016miket_sf2m2,sf,0, 0, 4, 2
1,misou,2016misou_f1m1,f1,0, 0, 6, 0
1,misou,2016misou_f1m2,f1,0, 0, 6, 0
1,misou,2016misou_qf1m1,qf,0, 1, 4, 0
1,misou,2016misou_qf1m2,qf,0, 0, 4, 1
1,misou,2016misou_qf2m1,qf,0, 0, 1, 4
1,misou,2016misou_qf2m2,qf,0, 0, 5, 0
1,misou,2016misou_qf2m3,qf,0, 0, 3, 2
1,misou,2016misou_qf3m1,qf,0, 0, 4, 0
1,misou,2016misou_qf3m2,qf,0, 0, 5, 0
1,misou,2016misou_qf3m3,qf,0, 0, 5, 0
1,misou,2016misou_qf4m1,qf,0, 0, 5, 1
1,misou,2016misou_qf4m2,qf,0, 0, 5, 1
1,misou,2016misou_qf4m3,qf,0, 0, 5, 1
1,misou,2016misou_qm1,qm,0, 0, 0, 1
1,misou,2016misou_qm10,qm,0, 0, 3, 1
1,misou,2016misou_qm11,qm,0, 0, 1, 0
1,misou,2016misou_qm12,qm,0, 0, 3, 2
1,misou,2016misou_qm13,qm,0, 0, 4, 0
1,misou,2016misou_qm14,qm,0, 0, 3, 0
1,misou,2016misou_qm15,qm,0, 0, 3, 1
1,misou,2016misou_qm16,qm,0, 0, 4, 1
1,misou,2016misou_qm17,qm,0, 0, 1, 1
1,misou,2016misou_qm18,qm,0, 0, 3, 0
1,misou,2016misou_qm19,qm,0, 0, 4, 0
1,misou,2016misou_qm2,qm,0, 0, 2, 1
1,misou,2016misou_qm20,qm,0, 0, 2, 1
1,misou,2016misou_qm21,qm,0, 0, 3, 1
1,misou,2016misou_qm22,qm,0, 0, 2, 0
1,misou,2016misou_qm23,qm,0, 0, 2, 2
1,misou,2016misou_qm24,qm,0, 0, 1, 0
1,misou,2016misou_qm25,qm,0, 0, 3, 1
1,misou,2016misou_qm26,qm,0, 0, 4, 0
1,misou,2016misou_qm27,qm,0, 0, 3, 0
1,misou,2016misou_qm28,qm,0, 0, 1, 1
1,misou,2016misou_qm29,qm,0, 0, 3, 0
1,misou,2016misou_qm3,qm,0, 0, 1, 1
1,misou,2016misou_qm30,qm,0, 0, 3, 1
1,misou,2016misou_qm31,qm,1, 0, 2, 1
1,misou,2016misou_qm32,qm,0, 0, 3, 3
1,misou,2016misou_qm33,qm,0, 0, 3, 1
1,misou,2016misou_qm34,qm,0, 0, 3, 0
1,misou,2016misou_qm35,qm,0, 0, 3, 2
1,misou,2016misou_qm36,qm,0, 0, 0, 3
1,misou,2016misou_qm37,qm,0, 0, 2, 1
1,misou,2016misou_qm38,qm,0, 0, 3, 1
1,misou,2016misou_qm39,qm,0, 0, 4, 2
1,misou,2016misou_qm4,qm,0, 0, 2, 1
1,misou,2016misou_qm40,qm,0, 0, 4, 1
1,misou,2016misou_qm41,qm,0, 0, 1, 1
1,misou,2016misou_qm42,qm,0, 0, 1, 3
1,misou,2016misou_qm43,qm,0, 0, 4, 1
1,misou,2016misou_qm44,qm,0, 0, 1, 5
1,misou,2016misou_qm45,qm,0, 0, 1, 2
1,misou,2016misou_qm46,qm,0, 0, 4, 1
1,misou,2016misou_qm47,qm,0, 0, 2, 2
1,misou,2016misou_qm48,qm,0, 0, 3, 1
1,misou,2016misou_qm49,qm,0, 0, 2, 2
1,misou,2016misou_qm5,qm,0, 0, 0, 3
1,misou,2016misou_qm50,qm,0, 0, 4, 0
1,misou,2016misou_qm51,qm,0, 0, 3, 1
1,misou,2016misou_qm52,qm,0, 0, 2, 1
1,misou,2016misou_qm53,qm,0, 0, 3, 2
1,misou,2016misou_qm54,qm,0, 0, 4, 1
1,misou,2016misou_qm55,qm,0, 0, 5, 1
1,misou,2016misou_qm56,qm,0, 0, 2, 2
1,misou,2016misou_qm57,qm,0, 0, 2, 2
1,misou,2016misou_qm58,qm,0, 0, 2, 2
1,misou,2016misou_qm59,qm,0, 0, 2, 1
1,misou,2016misou_qm6,qm,0, 0, 3, 1
1,misou,2016misou_qm60,qm,0, 0, 1, 3
1,misou,2016misou_qm61,qm,0, 0, 3, 0
1,misou,2016misou_qm62,qm,0, 0, 1, 3
1,misou,2016misou_qm63,qm,0, 0, 4, 1
1,misou,2016misou_qm64,qm,0, 0, 3, 1
1,misou,2016misou_qm65,qm,0, 0, 4, 1
1,misou,2016misou_qm66,qm,0, 0, 3, 2
1,misou,2016misou_qm67,qm,0, 0, 4, 1
1,misou,2016misou_qm68,qm,0, 0, 4, 0
1,misou,2016misou_qm69,qm,0, 0, 3, 0
1,misou,2016misou_qm7,qm,0, 0, 3, 1
1,misou,2016misou_qm70,qm,0, 0, 3, 0
1,misou,2016misou_qm71,qm,0, 0, 3, 0
1,misou,2016misou_qm72,qm,0, 0, 2, 2
1,misou,2016misou_qm73,qm,0, 0, 1, 0
1,misou,2016misou_qm74,qm,0, 0, 4, 0
1,misou,2016misou_qm75,qm,0, 0, 3, 2
1,misou,2016misou_qm76,qm,0, 0, 3, 1
1,misou,2016misou_qm77,qm,0, 0, 5, 1
1,misou,2016misou_qm78,qm,0, 0, 2, 3
1,misou,2016misou_qm8,qm,0, 0, 2, 1
1,misou,2016misou_qm9,qm,0, 0, 2, 2
1,misou,2016misou_sf1m1,sf,0, 0, 5, 0
1,misou,2016misou_sf1m2,sf,0, 0, 4, 1
1,misou,2016misou_sf2m1,sf,0, 0, 6, 0
1,misou,2016misou_sf2m2,sf,0, 0, 6, 0
1,mista,2016mista_f1m1,f1,2, 0, 4, 2
1,mista,2016mista_f1m2,f1,2, 0, 4, 2
1,mista,2016mista_qf1m1,qf,0, 0, 5, 1
1,mista,2016mista_qf1m2,qf,1, 0, 5, 1
1,mista,2016mista_qf1m3,qf,0, 0, 4, 2
1,mista,2016mista_qf2m1,qf,0, 0, 4, 1
1,mista,2016mista_qf2m2,qf,0, 0, 4, 2
1,mista,2016mista_qf3m1,qf,0, 0, 2, 2
1,mista,2016mista_qf3m2,qf,0, 0, 3, 3
1,mista,2016mista_qf3m3,qf,1, 0, 3, 2
1,mista,2016mista_qf4m1,qf,0, 0, 4, 2
1,mista,2016mista_qf4m2,qf,0, 0, 5, 1
1,mista,2016mista_qf4m3,qf,0, 0, 5, 1
1,mista,2016mista_qm1,qm,0, 0, 2, 0
1,mista,2016mista_qm10,qm,0, 0, 2, 1
1,mista,2016mista_qm11,qm,0, 0, 2, 0
1,mista,2016mista_qm12,qm,0, 0, 1, 4
1,mista,2016mista_qm13,qm,0, 0, 2, 3
1,mista,2016mista_qm14,qm,0, 0, 3, 0
1,mista,2016mista_qm15,qm,0, 0, 3, 1
1,mista,2016mista_qm16,qm,0, 0, 1, 1
1,mista,2016mista_qm17,qm,0, 0, 3, 2
1,mista,2016mista_qm18,qm,0, 0, 2, 1
1,mista,2016mista_qm19,qm,0, 0, 2, 2
1,mista,2016mista_qm2,qm,0, 0, 2, 2
1,mista,2016mista_qm20,qm,0, 0, 2, 2
1,mista,2016mista_qm21,qm,0, 0, 2, 2
1,mista,2016mista_qm22,qm,0, 0, 1, 1
1,mista,2016mista_qm23,qm,0, 0, 4, 1
1,mista,2016mista_qm24,qm,0, 0, 2, 2
1,mista,2016mista_qm25,qm,0, 0, 2, 2
1,mista,2016mista_qm26,qm,0, 0, 2, 1
1,mista,2016mista_qm27,qm,0, 0, 2, 1
1,mista,2016mista_qm28,qm,0, 1, 3, 2
1,mista,2016mista_qm29,qm,0, 0, 3, 0
1,mista,2016mista_qm3,qm,0, 0, 3, 0
1,mista,2016mista_qm30,qm,0, 0, 3, 2
1,mista,2016mista_qm31,qm,0, 0, 3, 2
1,mista,2016mista_qm32,qm,0, 0, 3, 3
1,mista,2016mista_qm33,qm,1, 0, 2, 2
1,mista,2016mista_qm34,qm,1, 0, 3, 0
1,mista,2016mista_qm35,qm,0, 0, 4, 0
1,mista,2016mista_qm36,qm,0, 0, 2, 2
1,mista,2016mista_qm37,qm,0, 0, 2, 3
1,mista,2016mista_qm38,qm,0, 0, 3, 2
1,mista,2016mista_qm39,qm,0, 0, 2, 3
1,mista,2016mista_qm4,qm,0, 0, 2, 2
1,mista,2016mista_qm40,qm,0, 0, 3, 2
1,mista,2016mista_qm41,qm,0, 0, 2, 4
1,mista,2016mista_qm42,qm,0, 0, 3, 2
1,mista,2016mista_qm43,qm,0, 0, 0, 1
1,mista,2016mista_qm44,qm,0, 0, 2, 4
1,mista,2016mista_qm45,qm,0, 0, 3, 1
1,mista,2016mista_qm46,qm,0, 0, 3, 1
1,mista,2016mista_qm47,qm,0, 0, 3, 2
1,mista,2016mista_qm48,qm,0, 0, 1, 3
1,mista,2016mista_qm49,qm,0, 0, 3, 1
1,mista,2016mista_qm5,qm,0, 0, 2, 1
1,mista,2016mista_qm50,qm,0, 0, 6, 0
1,mista,2016mista_qm51,qm,1, 0, 3, 3
1,mista,2016mista_qm52,qm,0, 0, 4, 1
1,mista,2016mista_qm53,qm,0, 0, 2, 2
1,mista,2016mista_qm54,qm,0, 0, 2, 3
1,mista,2016mista_qm55,qm,0, 0, 2, 4
1,mista,2016mista_qm56,qm,0, 0, 1, 4
1,mista,2016mista_qm57,qm,0, 0, 4, 1
1,mista,2016mista_qm58,qm,0, 0, 2, 1
1,mista,2016mista_qm59,qm,0, 0, 4, 0
1,mista,2016mista_qm6,qm,0, 0, 0, 2
1,mista,2016mista_qm60,qm,0, 0, 2, 4
1,mista,2016mista_qm61,qm,0, 0, 2, 1
1,mista,2016mista_qm62,qm,0, 0, 3, 2
1,mista,2016mista_qm63,qm,0, 0, 4, 1
1,mista,2016mista_qm64,qm,0, 0, 5, 0
1,mista,2016mista_qm65,qm,0, 0, 2, 2
1,mista,2016mista_qm66,qm,0, 0, 3, 2
1,mista,2016mista_qm67,qm,1, 0, 2, 2
1,mista,2016mista_qm68,qm,0, 0, 3, 2
1,mista,2016mista_qm69,qm,0, 0, 2, 1
1,mista,2016mista_qm7,qm,0, 0, 1, 3
1,mista,2016mista_qm70,qm,0, 0, 1, 4
1,mista,2016mista_qm71,qm,0, 0, 6, 0
1,mista,2016mista_qm72,qm,0, 0, 0, 5
1,mista,2016mista_qm73,qm,1, 0, 4, 2
1,mista,2016mista_qm74,qm,0, 0, 3, 2
1,mista,2016mista_qm75,qm,0, 0, 3, 2
1,mista,2016mista_qm76,qm,1, 0, 2, 2
1,mista,2016mista_qm77,qm,0, 0, 5, 1
1,mista,2016mista_qm78,qm,0, 0, 2, 2
1,mista,2016mista_qm79,qm,1, 0, 5, 1
1,mista,2016mista_qm8,qm,0, 0, 2, 1
1,mista,2016mista_qm80,qm,0, 0, 2, 3
1,mista,2016mista_qm9,qm,0, 0, 2, 1
1,mista,2016mista_sf1m1,sf,1, 1, 5, 1
1,mista,2016mista_sf1m2,sf,1, 0, 5, 1
1,mista,2016mista_sf1m3,sf,0, 0, 4, 2
1,mista,2016mista_sf2m1,sf,1, 0, 4, 2
1,mista,2016mista_sf2m2,sf,0, 0, 4, 1
1,miwat,2016miwat_f1m1,f1,0, 0, 6, 0
1,miwat,2016miwat_f1m2,f1,0, 0, 5, 1
1,miwat,2016miwat_qf1m1,qf,0, 0, 4, 0
1,miwat,2016miwat_qf1m2,qf,0, 0, 4, 1
1,miwat,2016miwat_qf2m1,qf,0, 0, 4, 1
1,miwat,2016miwat_qf2m2,qf,1, 0, 4, 1
1,miwat,2016miwat_qf3m1,qf,0, 0, 4, 0
1,miwat,2016miwat_qf3m2,qf,0, 1, 4, 0
1,miwat,2016miwat_qf4m1,qf,0, 0, 4, 0
1,miwat,2016miwat_qf4m2,qf,0, 0, 4, 1
1,miwat,2016miwat_qm1,qm,0, 0, 0, 2
1,miwat,2016miwat_qm10,qm,0, 0, 0, 1
1,miwat,2016miwat_qm11,qm,0, 0, 3, 2
1,miwat,2016miwat_qm12,qm,0, 0, 0, 2
1,miwat,2016miwat_qm13,qm,0, 0, 1, 1
1,miwat,2016miwat_qm14,qm,0, 0, 1, 1
1,miwat,2016miwat_qm15,qm,1, 0, 2, 2
