Week,Event,Match,Type,High,Low,Challenges,Scales,Breaches,Captures
1,vahay,2016vahay_f1m1,f1,5, 8, 2, 1, 2, 0
1,vahay,2016vahay_f1m2,f1,5, 6, 3, 0, 2, 0
1,vahay,2016vahay_f1m3,f1,5, 9, 5, 1, 2, 1
1,vahay,2016vahay_qf1m1,qf,0, 13, 5, 0, 2, 0
1,vahay,2016vahay_qf1m2,qf,2, 7, 3, 1, 2, 0
1,vahay,2016vahay_qf2m1,qf,0, 8, 5, 1, 2, 0
1,vahay,2016vahay_qf2m2,qf,0, 8, 5, 1, 2, 0
1,vahay,2016vahay_qf3m1,qf,2, 7, 6, 0, 2, 0
1,vahay,2016vahay_qf3m2,qf,2, 3, 4, 0, 2, 0
1,vahay,2016vahay_qf4m1,qf,0, 3, 1, 0, 0, 0
1,vahay,2016vahay_qf4m2,qf,0, 2, 4, 0, 2, 0
1,vahay,2016vahay_qm1,qm,0, 2, 0, 0, 0, 0
1,vahay,2016vahay_qm10,qm,0, 3, 2, 0, 1, 0
1,vahay,2016vahay_qm11,qm,0, 0, 3, 0, 1, 0
1,vahay,2016vahay_qm12,qm,0, 4, 3, 0, 1, 0
1,vahay,2016vahay_qm13,qm,0, 6, 2, 0, 0, 0
1,vahay,2016vahay_qm14,qm,1, 1, 1, 0, 0, 0
1,vahay,2016vahay_qm15,qm,3, 1, 2, 0, 2, 0
1,vahay,2016vahay_qm16,qm,0, 6, 3, 0, 1, 0
1,vahay,2016vahay_qm17,qm,0, 0, 2, 0, 0, 0
1,vahay,2016vahay_qm18,qm,0, 5, 5, 0, 1, 0
1,vahay,2016vahay_qm19,qm,1, 4, 1, 0, 2, 0
1,vahay,2016vahay_qm2,qm,0, 0, 0, 0, 0, 0
1,vahay,2016vahay_qm20,qm,0, 0, 3, 0, 0, 0
1,vahay,2016vahay_qm21,qm,2, 7, 5, 0, 1, 0
1,vahay,2016vahay_qm22,qm,0, 7, 3, 0, 1, 0
1,vahay,2016vahay_qm23,qm,0, 0, 2, 0, 1, 0
1,vahay,2016vahay_qm24,qm,0, 1, 2, 0, 0, 0
1,vahay,2016vahay_qm25,qm,0, 3, 4, 0, 1, 0
1,vahay,2016vahay_qm26,qm,0, 1, 3, 0, 1, 0
1,vahay,2016vahay_qm27,qm,2, 4, 2, 0, 1, 0
1,vahay,2016vahay_qm28,qm,0, 6, 4, 0, 1, 0
1,vahay,2016vahay_qm29,qm,0, 2, 1, 0, 0, 0
1,vahay,2016vahay_qm3,qm,0, 0, 2, 0, 0, 0
1,vahay,2016vahay_qm30,qm,0, 0, 2, 0, 1, 0
1,vahay,2016vahay_qm31,qm,0, 0, 4, 1, 1, 0
1,vahay,2016vahay_qm32,qm,0, 0, 1, 0, 1, 0
1,vahay,2016vahay_qm33,qm,0, 8, 5, 0, 2, 0
1,vahay,2016vahay_qm34,qm,2, 4, 2, 0, 1, 0
1,vahay,2016vahay_qm35,qm,0, 1, 2, 0, 1, 0
1,vahay,2016vahay_qm36,qm,1, 0, 1, 0, 0, 0
1,vahay,2016vahay_qm37,qm,0, 6, 3, 0, 0, 0
1,vahay,2016vahay_qm38,qm,0, 3, 2, 0, 0, 0
1,vahay,2016vahay_qm39,qm,1, 2, 5, 1, 1, 0
1,vahay,2016vahay_qm4,qm,0, 1, 0, 0, 0, 0
1,vahay,2016vahay_qm40,qm,0, 2, 0, 0, 0, 0
1,vahay,2016vahay_qm41,qm,0, 0, 2, 0, 1, 0
1,vahay,2016vahay_qm42,qm,0, 0, 3, 0, 1, 0
1,vahay,2016vahay_qm43,qm,1, 1, 1, 1, 2, 0
1,vahay,2016vahay_qm44,qm,0, 2, 2, 1, 0, 0
1,vahay,2016vahay_qm45,qm,0, 4, 6, 0, 2, 0
1,vahay,2016vahay_qm46,qm,0, 4, 3, 1, 2, 0
1,vahay,2016vahay_qm47,qm,0, 1, 2, 0, 1, 0
1,vahay,2016vahay_qm48,qm,0, 0, 4, 0, 0, 0
1,vahay,2016vahay_qm49,qm,2, 7, 3, 0, 1, 0
1,vahay,2016vahay_qm5,qm,0, 4, 0, 0, 0, 0
1,vahay,2016vahay_qm50,qm,0, 5, 4, 0, 2, 0
1,vahay,2016vahay_qm51,qm,0, 0, 0, 1, 1, 0
1,vahay,2016vahay_qm52,qm,0, 3, 3, 0, 1, 0
1,vahay,2016vahay_qm53,qm,0, 4, 4, 0, 1, 0
1,vahay,2016vahay_qm54,qm,0, 1, 0, 0, 1, 0
1,vahay,2016vahay_qm55,qm,0, 4, 5, 0, 2, 0
1,vahay,2016vahay_qm56,qm,1, 6, 2, 0, 1, 0
1,vahay,2016vahay_qm57,qm,0, 1, 5, 1, 1, 0
1,vahay,2016vahay_qm58,qm,0, 4, 2, 0, 1, 0
1,vahay,2016vahay_qm59,qm,0, 5, 3, 1, 2, 0
1,vahay,2016vahay_qm6,qm,1, 1, 3, 0, 1, 0
1,vahay,2016vahay_qm60,qm,0, 5, 5, 1, 2, 0
1,vahay,2016vahay_qm61,qm,0, 0, 4, 0, 0, 0
1,vahay,2016vahay_qm62,qm,0, 8, 2, 0, 2, 0
1,vahay,2016vahay_qm63,qm,0, 0, 1, 1, 0, 0
1,vahay,2016vahay_qm64,qm,5, 1, 6, 0, 2, 0
1,vahay,2016vahay_qm65,qm,0, 1, 3, 0, 2, 0
1,vahay,2016vahay_qm66,qm,0, 3, 3, 0, 1, 0
1,vahay,2016vahay_qm67,qm,1, 8, 3, 0, 0, 0
1,vahay,2016vahay_qm68,qm,0, 1, 5, 0, 2, 0
1,vahay,2016vahay_qm69,qm,1, 2, 2, 0, 0, 0
1,vahay,2016vahay_qm7,qm,0, 0, 0, 1, 0, 0
1,vahay,2016vahay_qm70,qm,1, 6, 4, 0, 2, 0
1,vahay,2016vahay_qm71,qm,0, 2, 4, 1, 1, 0
1,vahay,2016vahay_qm72,qm,1, 2, 4, 1, 1, 0
1,vahay,2016vahay_qm73,qm,0, 1, 5, 0, 2, 0
1,vahay,2016vahay_qm74,qm,0, 3, 5, 0, 1, 0
1,vahay,2016vahay_qm75,qm,0, 6, 3, 1, 2, 0
1,vahay,2016vahay_qm76,qm,1, 2, 3, 1, 1, 0
1,vahay,2016vahay_qm77,qm,0, 0, 3, 0, 2, 0
1,vahay,2016vahay_qm78,qm,0, 1, 3, 0, 1, 0
1,vahay,2016vahay_qm8,qm,1, 0, 0, 0, 0, 0
1,vahay,2016vahay_qm9,qm,0, 2, 3, 0, 0, 0
1,vahay,2016vahay_sf1m1,sf,0, 13, 4, 2, 2, 1
1,vahay,2016vahay_sf1m2,sf,0, 16, 3, 1, 2, 1
1,vahay,2016vahay_sf2m1,sf,1, 8, 6, 0, 2, 0
1,vahay,2016vahay_sf2m2,sf,4, 2, 3, 1, 2, 0
1,vahay,2016vahay_sf2m3,sf,2, 4, 5, 0, 2, 0
1,miket,2016miket_f1m1,f1,1, 5, 2, 0, 1, 0
1,miket,2016miket_f1m2,f1,1, 5, 3, 2, 1, 0
1,miket,2016miket_qf1m1,qf,6, 4, 3, 0, 1, 0
1,miket,2016miket_qf1m2,qf,8, 7, 5, 1, 2, 1
1,miket,2016miket_qf2m1,qf,0, 7, 2, 1, 2, 0
1,miket,2016miket_qf2m2,qf,0, 8, 4, 1, 2, 0
1,miket,2016miket_qf3m1,qf,2, 7, 4, 1, 2, 0
1,miket,2016miket_qf3m2,qf,4, 10, 5, 0, 2, 0
1,miket,2016miket_qf3m3,qf,6, 4, 4, 1, 2, 1
1,miket,2016miket_qf4m1,qf,3, 5, 6, 0, 2, 0
1,miket,2016miket_qf4m2,qf,6, 5, 4, 0, 2, 0
1,miket,2016miket_qf4m3,qf,3, 6, 5, 0, 1, 0
1,miket,2016miket_qm1,qm,1, 1, 0, 0, 0, 0
1,miket,2016miket_qm10,qm,0, 1, 3, 0, 1, 0
1,miket,2016miket_qm11,qm,3, 0, 1, 0, 0, 0
1,miket,2016miket_qm12,qm,0, 4, 4, 0, 1, 0
1,miket,2016miket_qm13,qm,1, 1, 0, 0, 1, 0
1,miket,2016miket_qm14,qm,2, 1, 2, 1, 0, 0
1,miket,2016miket_qm15,qm,0, 2, 2, 1, 1, 0
1,miket,2016miket_qm16,qm,2, 0, 3, 0, 0, 0
1,miket,2016miket_qm17,qm,0, 1, 5, 0, 2, 0
1,miket,2016miket_qm18,qm,0, 0, 2, 0, 1, 0
1,miket,2016miket_qm19,qm,1, 1, 2, 0, 1, 0
1,miket,2016miket_qm2,qm,3, 1, 2, 0, 1, 0
1,miket,2016miket_qm20,qm,4, 0, 3, 0, 1, 0
1,miket,2016miket_qm21,qm,1, 2, 1, 0, 1, 0
1,miket,2016miket_qm22,qm,1, 1, 4, 0, 1, 0
1,miket,2016miket_qm23,qm,2, 2, 3, 0, 1, 0
1,miket,2016miket_qm24,qm,0, 1, 4, 0, 1, 0
1,miket,2016miket_qm25,qm,0, 0, 3, 0, 2, 0
1,miket,2016miket_qm26,qm,0, 1, 1, 0, 0, 0
1,miket,2016miket_qm27,qm,0, 5, 2, 0, 0, 0
1,miket,2016miket_qm28,qm,0, 1, 5, 0, 1, 0
1,miket,2016miket_qm29,qm,1, 1, 2, 0, 0, 0
1,miket,2016miket_qm3,qm,0, 0, 2, 0, 1, 0
1,miket,2016miket_qm30,qm,1, 2, 2, 0, 1, 0
1,miket,2016miket_qm31,qm,2, 0, 3, 0, 2, 0
1,miket,2016miket_qm32,qm,2, 2, 5, 0, 2, 0
1,miket,2016miket_qm33,qm,1, 2, 3, 0, 1, 0
1,miket,2016miket_qm34,qm,0, 3, 4, 0, 2, 0
1,miket,2016miket_qm35,qm,3, 1, 5, 0, 2, 0
1,miket,2016miket_qm36,qm,3, 1, 4, 0, 1, 0
1,miket,2016miket_qm37,qm,1, 3, 3, 1, 2, 0
1,miket,2016miket_qm38,qm,0, 0, 3, 0, 0, 0
1,miket,2016miket_qm39,qm,0, 1, 2, 0, 0, 0
1,miket,2016miket_qm4,qm,0, 2, 2, 0, 1, 0
1,miket,2016miket_qm40,qm,2, 3, 4, 0, 1, 0
1,miket,2016miket_qm41,qm,0, 0, 1, 0, 1, 0
1,miket,2016miket_qm42,qm,0, 1, 2, 0, 2, 0
1,miket,2016miket_qm43,qm,1, 3, 3, 0, 1, 0
1,miket,2016miket_qm44,qm,4, 2, 6, 0, 2, 0
1,miket,2016miket_qm45,qm,1, 3, 3, 0, 1, 0
1,miket,2016miket_qm46,qm,5, 4, 4, 0, 1, 0
1,miket,2016miket_qm47,qm,2, 0, 3, 0, 2, 0
1,miket,2016miket_qm48,qm,3, 2, 4, 0, 1, 0
1,miket,2016miket_qm49,qm,1, 1, 2, 0, 1, 0
1,miket,2016miket_qm5,qm,2, 3, 2, 0, 1, 0
1,miket,2016miket_qm50,qm,6, 5, 4, 0, 2, 0
1,miket,2016miket_qm51,qm,1, 5, 6, 0, 2, 0
1,miket,2016miket_qm52,qm,0, 1, 5, 0, 2, 0
1,miket,2016miket_qm53,qm,2, 0, 3, 0, 1, 0
1,miket,2016miket_qm54,qm,0, 2, 3, 1, 2, 0
1,miket,2016miket_qm55,qm,4, 2, 5, 0, 1, 0
1,miket,2016miket_qm56,qm,4, 0, 5, 0, 2, 0
1,miket,2016miket_qm57,qm,0, 4, 5, 0, 2, 0
1,miket,2016miket_qm58,qm,1, 0, 2, 0, 1, 0
1,miket,2016miket_qm59,qm,0, 0, 3, 1, 1, 0
1,miket,2016miket_qm6,qm,2, 3, 0, 0, 1, 0
1,miket,2016miket_qm60,qm,1, 9, 3, 0, 1, 0
1,miket,2016miket_qm61,qm,4, 1, 4, 0, 1, 0
1,miket,2016miket_qm62,qm,2, 0, 3, 0, 1, 0
1,miket,2016miket_qm63,qm,0, 1, 4, 0, 1, 0
1,miket,2016miket_qm64,qm,1, 5, 4, 1, 1, 0
1,miket,2016miket_qm65,qm,2, 5, 6, 0, 2, 0
1,miket,2016miket_qm66,qm,1, 2, 3, 0, 1, 0
1,miket,2016miket_qm67,qm,0, 2, 3, 0, 1, 0
1,miket,2016miket_qm68,qm,4, 1, 3, 0, 2, 0
1,miket,2016miket_qm69,qm,1, 1, 3, 0, 2, 0
1,miket,2016miket_qm7,qm,0, 4, 3, 0, 2, 0
1,miket,2016miket_qm70,qm,3, 1, 4, 0, 1, 0
1,miket,2016miket_qm71,qm,0, 4, 3, 0, 2, 0
1,miket,2016miket_qm72,qm,5, 3, 3, 0, 2, 0
1,miket,2016miket_qm73,qm,2, 0, 4, 0, 1, 0
1,miket,2016miket_qm74,qm,1, 0, 3, 0, 2, 0
1,miket,2016miket_qm75,qm,1, 1, 4, 0, 1, 0
1,miket,2016miket_qm76,qm,4, 1, 5, 1, 2, 0
1,miket,2016miket_qm77,qm,0, 4, 4, 0, 2, 0
1,miket,2016miket_qm78,qm,0, 5, 5, 0, 2, 0
1,miket,2016miket_qm79,qm,3, 3, 3, 0, 1, 0
1,miket,2016miket_qm8,qm,2, 0, 0, 0, 0, 0
1,miket,2016miket_qm80,qm,2, 11, 5, 1, 2, 1
1,miket,2016miket_qm9,qm,3, 1, 2, 0, 1, 0
1,miket,2016miket_sf1m1,sf,2, 8, 4, 1, 1, 0
1,miket,2016miket_sf1m2,sf,1, 9, 5, 0, 2, 0
1,miket,2016miket_sf1m3,sf,1, 6, 2, 2, 2, 0
1,miket,2016miket_sf2m1,sf,3, 6, 5, 1, 2, 0
1,miket,2016miket_sf2m2,sf,1, 8, 5, 0, 2, 0
1,misou,2016misou_f1m1,f1,0, 14, 4, 1, 2, 1
1,misou,2016misou_f1m2,f1,0, 12, 5, 1, 2, 1
1,misou,2016misou_qf1m1,qf,2, 10, 3, 1, 2, 0
1,misou,2016misou_qf1m2,qf,4, 11, 5, 1, 2, 1
1,misou,2016misou_qf2m1,qf,3, 0, 2, 1, 0, 0
1,misou,2016misou_qf2m2,qf,6, 0, 3, 0, 1, 0
1,misou,2016misou_qf2m3,qf,8, 0, 2, 0, 1, 0
1,misou,2016misou_qf3m1,qf,0, 10, 3, 0, 2, 0
1,misou,2016misou_qf3m2,qf,0, 12, 6, 0, 2, 0
1,misou,2016misou_qf3m3,qf,0, 12, 5, 0, 2, 0
1,misou,2016misou_qf4m1,qf,0, 9, 5, 0, 2, 0
1,misou,2016misou_qf4m2,qf,0, 10, 6, 0, 2, 0
1,misou,2016misou_qf4m3,qf,0, 11, 5, 0, 2, 0
1,misou,2016misou_qm1,qm,1, 0, 0, 0, 0, 0
1,misou,2016misou_qm10,qm,2, 2, 3, 0, 2, 0
1,misou,2016misou_qm11,qm,0, 2, 1, 0, 0, 0
1,misou,2016misou_qm12,qm,2, 1, 1, 0, 0, 0
1,misou,2016misou_qm13,qm,0, 4, 3, 0, 2, 0
1,misou,2016misou_qm14,qm,0, 8, 3, 1, 1, 0
1,misou,2016misou_qm15,qm,3, 0, 2, 0, 1, 0
1,misou,2016misou_qm16,qm,0, 9, 5, 0, 2, 0
1,misou,2016misou_qm17,qm,0, 0, 4, 0, 1, 0
1,misou,2016misou_qm18,qm,3, 1, 2, 0, 1, 0
1,misou,2016misou_qm19,qm,0, 0, 0, 0, 0, 0
1,misou,2016misou_qm2,qm,0, 1, 2, 0, 0, 0
1,misou,2016misou_qm20,qm,0, 3, 4, 0, 1, 0
1,misou,2016misou_qm21,qm,0, 2, 3, 0, 2, 0
1,misou,2016misou_qm22,qm,0, 1, 0, 0, 0, 0
1,misou,2016misou_qm23,qm,0, 1, 4, 0, 1, 0
1,misou,2016misou_qm24,qm,1, 3, 1, 1, 0, 0
1,misou,2016misou_qm25,qm,1, 3, 5, 0, 1, 0
1,misou,2016misou_qm26,qm,1, 4, 3, 0, 2, 0
1,misou,2016misou_qm27,qm,0, 0, 2, 1, 0, 0
1,misou,2016misou_qm28,qm,0, 0, 2, 0, 0, 0
1,misou,2016misou_qm29,qm,0, 1, 4, 0, 1, 0
1,misou,2016misou_qm3,qm,0, 2, 0, 0, 0, 0
1,misou,2016misou_qm30,qm,3, 6, 2, 0, 1, 0
1,misou,2016misou_qm31,qm,2, 0, 5, 0, 1, 0
1,misou,2016misou_qm32,qm,0, 5, 5, 0, 2, 0
1,misou,2016misou_qm33,qm,0, 2, 2, 0, 1, 0
1,misou,2016misou_qm34,qm,1, 0, 4, 0, 1, 0
1,misou,2016misou_qm35,qm,0, 5, 5, 0, 1, 0
1,misou,2016misou_qm36,qm,0, 0, 4, 0, 1, 0
1,misou,2016misou_qm37,qm,0, 3, 3, 0, 1, 0
1,misou,2016misou_qm38,qm,2, 2, 4, 1, 2, 0
1,misou,2016misou_qm39,qm,0, 4, 2, 0, 2, 0
1,misou,2016misou_qm4,qm,0, 2, 5, 0, 1, 0
1,misou,2016misou_qm40,qm,0, 10, 4, 0, 1, 0
1,misou,2016misou_qm41,qm,1, 1, 1, 0, 0, 0
1,misou,2016misou_qm42,qm,0, 1, 3, 0, 1, 0
1,misou,2016misou_qm43,qm,2, 4, 4, 0, 2, 0
1,misou,2016misou_qm44,qm,2, 2, 3, 0, 2, 0
1,misou,2016misou_qm45,qm,0, 1, 3, 0, 1, 0
1,misou,2016misou_qm46,qm,0, 2, 5, 0, 2, 0
1,misou,2016misou_qm47,qm,0, 3, 2, 1, 0, 0
1,misou,2016misou_qm48,qm,0, 4, 3, 0, 1, 0
1,misou,2016misou_qm49,qm,1, 2, 4, 0, 2, 0
1,misou,2016misou_qm5,qm,1, 0, 1, 1, 2, 0
1,misou,2016misou_qm50,qm,1, 4, 5, 0, 2, 0
1,misou,2016misou_qm51,qm,1, 5, 5, 0, 2, 0
1,misou,2016misou_qm52,qm,1, 1, 3, 0, 0, 0
1,misou,2016misou_qm53,qm,3, 3, 5, 0, 2, 0
1,misou,2016misou_qm54,qm,1, 0, 5, 0, 2, 0
1,misou,2016misou_qm55,qm,1, 7, 1, 1, 1, 0
1,misou,2016misou_qm56,qm,0, 8, 3, 1, 1, 0
1,misou,2016misou_qm57,qm,1, 0, 2, 0, 1, 0
1,misou,2016misou_qm58,qm,1, 1, 2, 0, 0, 0
