5098,2335,2202,1806,1785,5801,
5082,4959,1982,1108,2345,3528,
4522,2357,1777,2335,1802,5189,
5801,3172,1825,5968,5268,31,
1723,1847,1737,1986,3485,2001,
1785,1827,2560,2353,2346,1730,
935,2345,1769,1775,1764,5730,
1806,5119,3528,2167,5141,937,
4809,2874,1984,5098,1108,1994,
2457,4959,4455,2202,5082,2164,
2410,1987,1763,1810,1997,5809,
2164,1997,2346,5126,5189,2001,
1939,5126,2345,5918,5013,31,
2346,5141,3528,5730,1730,2335,
5968,937,1825,1994,5189,4809,
1764,5801,2001,2457,1982,2357,
1984,5119,3172,1997,2874,1827,
1810,4522,1769,1785,1986,2164,
5809,5013,1108,2202,1777,1723,
1737,2410,5918,1987,5098,935,
2560,4959,1802,1806,5268,1939,
1775,3485,1847,1763,4455,5126,
1802,2357,5918,5968,5809,2874,
2353,2167,2001,5082,1994,1769,
5968,2345,5013,5809,2335,1984,
1737,1810,2164,1825,1827,5141,
1764,2874,2410,1939,2560,937,
4959,1997,1775,5801,2346,5730,
935,1802,2202,31,5119,1730,
4809,3485,5126,5082,3172,4522,
1777,4455,1785,1723,5918,2167,
2353,2357,1806,1847,5268,1108,
5098,5189,1763,1986,3528,1982,
3485,1723,1827,5730,1825,2410,
1987,5730,31,2457,2335,2874,
1825,5013,5082,1997,937,2410,
1984,4522,2001,1730,2167,5809,
1777,5968,2164,1847,2560,935,
5801,5189,1827,4455,5918,1108,
1775,5126,1994,1806,1986,2457,
1987,2353,3528,2202,3485,1764,
4959,1939,3172,1723,5098,2357,
5268,1737,1769,5119,2345,1810,
1982,1785,2346,5141,1802,4809,
5268,4455,4522,1939,1982,1769,
1763,1994,5809,2164,935,31,
2001,4455,1806,5013,1777,2410,
5098,937,1986,1827,1987,5968,
1997,2345,2457,2353,4522,1723,
1847,4809,1939,3528,5730,2167,
1775,2202,5141,2874,5268,5189,
1825,1769,1984,4959,5126,2357,
1730,5082,1802,5801,1737,1763,
1764,5918,2346,1810,1108,3172,
3485,2560,1982,1785,5119,2335,
3172,1730,1994,1987,1777,1775,
1827,2167,5268,935,5013,2001,
1769,5141,31,5968,4809,1997,
5730,4455,1994,3528,1737,5809,
1987,4522,5918,1775,1806,5082,
2345,2164,2357,2346,5098,5119,
1982,2202,1763,2560,1777,1984,
3172,1986,2335,1825,2353,1939,
5126,1108,2457,1785,1810,1802,
1730,1847,2410,5189,1764,4959,
3485,2874,937,1723,5801,2164,
2167,1986,1737,1764,31,2560,
1984,2357,5730,4455,5141,1987,
1986,1825,2202,2001,2345,5918,
5013,2457,1802,1769,3172,3528,
2410,5968,5126,2353,1737,1982,
2560,1810,2167,1775,5801,5098,
2346,1723,2335,1764,5268,1994,
1806,1997,5189,3485,1939,935,
31,1785,2874,5082,1777,1847,
5809,4809,4522,5119,1827,4959,
1108,937,5730,1763,1730,1986,
5119,5141,5013,2457,1763,1847,
5801,2167,1987,1723,1802,5126,
5268,2164,5918,1984,3528,2410,
1785,5013,1997,2357,1737,1994,
935,1764,5082,4522,5098,5141,
1108,1775,5968,1939,2001,5119,
2457,1730,2560,4809,2345,4455,
1825,5809,2346,1982,1806,2874,
1777,1810,31,3485,2353,4959,
1769,1847,2335,1827,2202,937,
3172,5189,5968,1763,1785,2167,
937,935,4809,1810,2353,1984,
1986,5141,1994,1802,4455,5801,
2560,5119,5730,1825,5126,5918,
1764,2353,4809,1806,2164,5013,
2457,1939,1777,2346,1737,937,
1982,1108,2335,3172,935,1997,
3528,1775,31,1827,2410,2357,
2874,1987,2001,2345,1763,4959,
5098,5268,1730,1769,3485,5809,
1723,1810,5082,1847,5189,1984,
2202,2346,1994,4522,5730,5968,
