Match,Zone3Shared,Blue2,Blue4,Blue5,Red2,Red4,Red5
1,A_ChevalDeFrise,C_SallyPort,D_RockWall,B_Ramparts,C_SallyPort,B_Moat,D_RockWall
10,B_Ramparts,A_ChevalDeFrise,C_SallyPort,D_RockWall,A_ChevalDeFrise,C_SallyPort,D_RoughTerrain
11,B_Ramparts,D_RockWall,C_SallyPort,A_Portcullis,A_ChevalDeFrise,C_Drawbridge,D_RockWall
12,B_Ramparts,C_SallyPort,A_ChevalDeFrise,D_RockWall,C_SallyPort,A_ChevalDeFrise,D_RoughTerrain
13,B_Ramparts,A_ChevalDeFrise,C_SallyPort,D_RockWall,A_ChevalDeFrise,C_SallyPort,D_RockWall
14,B_Ramparts,A_Portcullis,C_SallyPort,D_RockWall,A_Portcullis,D_RockWall,C_Drawbridge
15,B_Ramparts,C_Drawbridge,D_RockWall,A_Portcullis,C_SallyPort,D_RockWall,A_Portcullis
16,B_Ramparts,C_Drawbridge,A_ChevalDeFrise,D_RockWall,A_Portcullis,C_SallyPort,D_RoughTerrain
17,B_Ramparts,A_ChevalDeFrise,C_SallyPort,D_RockWall,D_RockWall,C_Drawbridge,A_ChevalDeFrise
18,B_Ramparts,D_RockWall,A_ChevalDeFrise,C_SallyPort,D_RockWall,A_ChevalDeFrise,C_Drawbridge
19,C_SallyPort,A_Portcullis,D_RoughTerrain,B_Moat,A_Portcullis,B_Ramparts,D_RockWall
2,A_ChevalDeFrise,C_Drawbridge,D_RockWall,B_Moat,B_Ramparts,C_SallyPort,D_RockWall
20,C_SallyPort,A_ChevalDeFrise,D_RockWall,B_Moat,B_Moat,D_RockWall,A_Portcullis
21,C_SallyPort,A_Portcullis,B_Moat,D_RockWall,A_Portcullis,B_Moat,D_RockWall
22,C_SallyPort,A_ChevalDeFrise,B_Moat,D_RockWall,B_Moat,D_RockWall,A_ChevalDeFrise
23,C_SallyPort,D_RoughTerrain,A_ChevalDeFrise,B_Moat,B_Moat,A_ChevalDeFrise,D_RockWall
24,C_SallyPort,A_ChevalDeFrise,B_Ramparts,D_RockWall,A_ChevalDeFrise,B_Ramparts,D_RockWall
25,C_SallyPort,D_RockWall,B_Moat,A_Portcullis,B_Moat,D_RockWall,A_ChevalDeFrise
26,C_SallyPort,D_RockWall,B_Ramparts,A_ChevalDeFrise,B_Moat,A_ChevalDeFrise,D_RockWall
27,C_SallyPort,A_Portcullis,B_Ramparts,D_RockWall,A_ChevalDeFrise,B_Moat,D_RockWall
28,D_RoughTerrain,C_Drawbridge,B_Moat,A_ChevalDeFrise,A_Portcullis,B_Ramparts,C_SallyPort
29,D_RoughTerrain,C_SallyPort,B_Ramparts,A_ChevalDeFrise,C_SallyPort,B_Moat,A_Portcullis
3,A_ChevalDeFrise,B_Moat,C_SallyPort,D_RockWall,C_Drawbridge,D_RockWall,B_Ramparts
30,D_RoughTerrain,C_SallyPort,A_ChevalDeFrise,B_Ramparts,B_Moat,A_Portcullis,C_SallyPort
31,D_RoughTerrain,C_SallyPort,B_Ramparts,A_Portcullis,A_ChevalDeFrise,B_Moat,C_SallyPort
32,D_RoughTerrain,B_Ramparts,A_ChevalDeFrise,C_SallyPort,C_Drawbridge,B_Ramparts,A_ChevalDeFrise
33,D_RoughTerrain,C_SallyPort,A_Portcullis,B_Ramparts,A_Portcullis,B_Moat,C_SallyPort
34,D_RoughTerrain,A_ChevalDeFrise,B_Ramparts,C_SallyPort,A_Portcullis,B_Ramparts,C_SallyPort
35,D_RoughTerrain,A_Portcullis,B_Ramparts,C_Drawbridge,C_Drawbridge,B_Moat,A_Portcullis
36,D_RoughTerrain,C_SallyPort,B_Ramparts,A_ChevalDeFrise,C_SallyPort,B_Ramparts,A_ChevalDeFrise
37,A_ChevalDeFrise,C_SallyPort,B_Moat,D_RockWall,B_Ramparts,C_SallyPort,D_RockWall
38,A_ChevalDeFrise,C_SallyPort,B_Ramparts,D_RockWall,D_RockWall,B_Moat,C_SallyPort
39,A_ChevalDeFrise,B_Ramparts,C_SallyPort,D_RockWall,C_SallyPort,D_RockWall,B_Moat
4,A_ChevalDeFrise,B_Moat,C_Drawbridge,D_RockWall,B_Moat,D_RockWall,C_SallyPort
40,A_ChevalDeFrise,D_RoughTerrain,C_SallyPort,B_Moat,D_RockWall,C_Drawbridge,B_Ramparts
41,A_ChevalDeFrise,C_SallyPort,D_RockWall,B_Ramparts,B_Ramparts,D_RockWall,C_Drawbridge
42,A_ChevalDeFrise,D_RockWall,B_Ramparts,C_SallyPort,C_Drawbridge,D_RockWall,B_Ramparts
43,A_ChevalDeFrise,D_RockWall,B_Ramparts,C_SallyPort,D_RockWall,B_Ramparts,C_SallyPort
44,A_ChevalDeFrise,C_SallyPort,D_RockWall,B_Ramparts,D_RockWall,B_Ramparts,C_SallyPort
45,A_ChevalDeFrise,D_RockWall,B_Ramparts,C_Drawbridge,B_Ramparts,C_Drawbridge,D_RockWall
46,B_Moat,C_SallyPort,D_RockWall,A_Portcullis,C_SallyPort,D_RockWall,A_ChevalDeFrise
47,B_Moat,A_Portcullis,C_SallyPort,D_RockWall,C_SallyPort,D_RoughTerrain,A_Portcullis
48,B_Moat,C_SallyPort,A_ChevalDeFrise,D_RockWall,C_SallyPort,A_ChevalDeFrise,D_RockWall
49,B_Moat,C_SallyPort,A_ChevalDeFrise,D_RockWall,A_ChevalDeFrise,C_Drawbridge,D_RockWall
5,A_ChevalDeFrise,B_Ramparts,C_SallyPort,D_RockWall,B_Ramparts,C_Drawbridge,D_RockWall
50,B_Moat,C_SallyPort,D_RockWall,A_ChevalDeFrise,C_SallyPort,D_RockWall,A_Portcullis
51,B_Moat,A_Portcullis,D_RockWall,C_SallyPort,A_ChevalDeFrise,D_RockWall,C_SallyPort
52,B_Moat,C_SallyPort,D_RockWall,A_ChevalDeFrise,A_Portcullis,D_RockWall,C_Drawbridge
53,B_Moat,D_RockWall,A_ChevalDeFrise,C_SallyPort,C_Drawbridge,D_RockWall,A_Portcullis
54,B_Moat,C_SallyPort,A_Portcullis,D_RockWall,D_RockWall,A_Portcullis,C_Drawbridge
55,C_SallyPort,A_ChevalDeFrise,B_Ramparts,D_RockWall,A_ChevalDeFrise,D_RockWall,B_Moat
56,C_SallyPort,A_ChevalDeFrise,B_Moat,D_RoughTerrain,D_RockWall,B_Ramparts,A_Portcullis
57,C_SallyPort,D_RockWall,B_Ramparts,A_ChevalDeFrise,D_RockWall,A_Portcullis,B_Moat
58,C_SallyPort,D_RockWall,A_ChevalDeFrise,B_Moat,A_ChevalDeFrise,B_Ramparts,D_RockWall
59,C_SallyPort,D_RockWall,A_ChevalDeFrise,B_Moat,A_ChevalDeFrise,B_Ramparts,D_RockWall
6,A_ChevalDeFrise,C_SallyPort,B_Ramparts,D_RockWall,B_Ramparts,C_SallyPort,D_RockWall
60,C_SallyPort,A_Portcullis,D_RockWall,B_Ramparts,B_Ramparts,A_ChevalDeFrise,D_RockWall
61,C_SallyPort,B_Moat,A_Portcullis,D_RoughTerrain,A_ChevalDeFrise,D_RockWall,B_Moat
62,C_SallyPort,A_ChevalDeFrise,B_Ramparts,D_RockWall,D_RockWall,A_ChevalDeFrise,B_Moat
63,C_SallyPort,B_Ramparts,D_RockWall,A_Portcullis,A_Portcullis,B_Ramparts,D_RockWall
64,D_RoughTerrain,A_ChevalDeFrise,C_SallyPort,B_Moat,A_ChevalDeFrise,B_Ramparts,C_SallyPort
65,D_RoughTerrain,C_SallyPort,A_ChevalDeFrise,B_Moat,A_Portcullis,C_SallyPort,B_Ramparts
66,D_RoughTerrain,B_Moat,A_ChevalDeFrise,C_SallyPort,A_Portcullis,B_Ramparts,C_Drawbridge
