Team,AutoD1Cross,AutoD1Reach,AutoD2Cross,AutoD2Reach,AutoD3Cross,AutoD3Reach,AutoD4Cross,AutoD4Reach,AutoD5Cross,AutoD5Reach,AutoHighShotMade,AutoHighShotAtt,AutoLowShotMade,AutoLowShotAtt,AutoTotalPoints,TeleOpD1Cross,TeleOpD1Att,TeleOpD2Cross,TeleOpD2Att,TeleOpD3Cross,TeleOpD3Att,TeleOpD4Cross,TeleOpD4Att,TeleOpD5Cross,TeleOpD5Att,ChallengeScale,TeleOpHighShotMade,TeleOpHighShotAtt,TeleOpLowShotMade,TeleOpLowShotAtt,TeleOpTotalPoints,TotalPoints,Defense,Match,Alliance,AutoCross,AutoReach,TeleCross,TeleCrossRaw
120,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,2,2,0,0,0,0,0,0,0,0,0,3,3,0,0,25,35,0,1,red,False,False,2,2
451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,9,0,0,0,3,4,0,0,30,30,0,1,blue,False,False,3,8
868,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0,1,1,2,2,0,0,1,4,5,0,1,40,50,0,1,red,True,False,3,3
3324,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,red,False,False,0,0
5492,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,2,0,0,4,4,28,38,0,1,blue,True,False,1,1
5811,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,4,1,1,1,1,4,4,2,2,0,0,0,2,2,44,46,0,1,blue,False,True,8,12
3010,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0,1,1,2,3,5,0,0,35,45,0,2,red,True,False,1,1
3260,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0,2,4,0,3,5,1,1,27,37,0,2,blue,True,False,2,2
4085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,3,17,0,0,25,25,0,2,blue,False,False,1,1
4145,0,2,0,0,0,2,0,0,1,1,0,0,0,0,10,2,2,0,0,2,2,0,0,1,1,0,1,1,0,0,30,40,0,2,red,True,False,5,5
5413,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,3,3,0,0,1,4,4,0,0,35,45,0,2,blue,True,False,2,3
1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,red,False,False,0,0
1308,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,3,3,0,0,0,0,0,0,1,1,1,0,1,0,0,20,30,0,3,red,True,False,3,4
3201,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,1,1,1,5,0,0,0,0,3,3,0,1,1,0,0,25,35,0,3,blue,True,False,4,5
4115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,1,0,3,0,0,15,17,0,3,blue,False,True,2,2
5809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,1,12,12,0,3,red,False,False,2,2
279,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,15,25,0,4,blue,True,False,1,1
337,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,1,1,0,0,2,2,0,0,0,0,2,0,0,4,5,38,48,0,4,red,True,False,3,3
554,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,blue,False,True,0,0
2408,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,red,False,True,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,5,0,5,red,False,False,1,1
5667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,10,10,0,5,blue,False,False,2,2
5749,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,red,False,False,0,0
63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,1,2,2,5,5,1,0,0,1,1,42,44,0,7,red,False,True,7,10
1708,1,1,0,0,0,0,0,0,0,0,0,0,1,1,15,1,1,0,0,0,0,1,1,0,0,0,0,0,3,3,16,31,0,7,red,True,False,2,2
2040,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,2,1,1,0,0,0,3,4,21,31,0,7,blue,True,False,3,3
4028,1,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,red,True,False,0,0
4521,0,1,1,2,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,blue,True,False,0,0
