Match,Team,Alliance,measurement,value,dloc,DefType
1,120,red,AutoD1Cross,0,1.0,E_LowBar
1,451,blue,AutoD1Cross,0,1.0,E_LowBar
1,868,red,AutoD1Cross,0,1.0,E_LowBar
1,3324,red,AutoD1Cross,0,1.0,E_LowBar
1,5492,blue,AutoD1Cross,1,1.0,E_LowBar
1,5811,blue,AutoD1Cross,0,1.0,E_LowBar
2,3010,red,AutoD1Cross,0,1.0,E_LowBar
2,3260,blue,AutoD1Cross,0,1.0,E_LowBar
2,4085,blue,AutoD1Cross,0,1.0,E_LowBar
2,4145,red,AutoD1Cross,0,1.0,E_LowBar
2,5413,blue,AutoD1Cross,0,1.0,E_LowBar
3,1249,red,AutoD1Cross,0,1.0,E_LowBar
3,1308,red,AutoD1Cross,0,1.0,E_LowBar
3,3201,blue,AutoD1Cross,0,1.0,E_LowBar
3,4115,blue,AutoD1Cross,0,1.0,E_LowBar
3,5809,red,AutoD1Cross,0,1.0,E_LowBar
4,279,blue,AutoD1Cross,0,1.0,E_LowBar
4,337,red,AutoD1Cross,0,1.0,E_LowBar
4,554,blue,AutoD1Cross,0,1.0,E_LowBar
4,2408,red,AutoD1Cross,0,1.0,E_LowBar
5,128,red,AutoD1Cross,0,1.0,E_LowBar
5,5667,blue,AutoD1Cross,0,1.0,E_LowBar
5,5749,red,AutoD1Cross,0,1.0,E_LowBar
7,63,red,AutoD1Cross,0,1.0,E_LowBar
7,1708,red,AutoD1Cross,1,1.0,E_LowBar
7,2040,blue,AutoD1Cross,1,1.0,E_LowBar
7,4028,red,AutoD1Cross,1,1.0,E_LowBar
7,4521,blue,AutoD1Cross,0,1.0,E_LowBar
8,48,red,AutoD1Cross,1,1.0,E_LowBar
8,2603,red,AutoD1Cross,0,1.0,E_LowBar
8,4256,blue,AutoD1Cross,0,1.0,E_LowBar
9,144,red,AutoD1Cross,0,1.0,E_LowBar
9,1985,blue,AutoD1Cross,1,1.0,E_LowBar
9,3821,blue,AutoD1Cross,1,1.0,E_LowBar
9,6084,red,AutoD1Cross,0,1.0,E_LowBar
10,337,red,AutoD1Cross,0,1.0,E_LowBar
10,1014,red,AutoD1Cross,0,1.0,E_LowBar
10,1308,blue,AutoD1Cross,0,1.0,E_LowBar
10,2399,red,AutoD1Cross,0,1.0,E_LowBar
10,2408,blue,AutoD1Cross,0,1.0,E_LowBar
11,868,red,AutoD1Cross,1,1.0,E_LowBar
11,1939,blue,AutoD1Cross,0,1.0,E_LowBar
11,3010,red,AutoD1Cross,0,1.0,E_LowBar
11,3492,blue,AutoD1Cross,0,1.0,E_LowBar
11,5809,red,AutoD1Cross,0,1.0,E_LowBar
12,1708,blue,AutoD1Cross,0,1.0,E_LowBar
12,3324,blue,AutoD1Cross,0,1.0,E_LowBar
12,3484,red,AutoD1Cross,0,1.0,E_LowBar
12,3814,red,AutoD1Cross,0,1.0,E_LowBar
12,4028,red,AutoD1Cross,0,1.0,E_LowBar
13,451,red,AutoD1Cross,0,1.0,E_LowBar
13,2016,red,AutoD1Cross,0,1.0,E_LowBar
13,2603,blue,AutoD1Cross,1,1.0,E_LowBar
13,3777,blue,AutoD1Cross,0,1.0,E_LowBar
13,4115,red,AutoD1Cross,1,1.0,E_LowBar
14,3201,blue,AutoD1Cross,0,1.0,E_LowBar
14,4256,red,AutoD1Cross,0,1.0,E_LowBar
14,4521,red,AutoD1Cross,0,1.0,E_LowBar
15,48,red,AutoD1Cross,1,1.0,E_LowBar
15,1038,red,AutoD1Cross,0,1.0,E_LowBar
15,3138,red,AutoD1Cross,0,1.0,E_LowBar
15,3260,blue,AutoD1Cross,0,1.0,E_LowBar
15,4145,blue,AutoD1Cross,1,1.0,E_LowBar
16,554,red,AutoD1Cross,1,1.0,E_LowBar
16,3266,red,AutoD1Cross,0,1.0,E_LowBar
16,4085,blue,AutoD1Cross,1,1.0,E_LowBar
16,4284,red,AutoD1Cross,0,1.0,E_LowBar
16,5667,blue,AutoD1Cross,0,1.0,E_LowBar
17,245,blue,AutoD1Cross,0,1.0,E_LowBar
17,279,blue,AutoD1Cross,0,1.0,E_LowBar
17,4213,red,AutoD1Cross,0,1.0,E_LowBar
17,5484,red,AutoD1Cross,1,1.0,E_LowBar
17,5492,red,AutoD1Cross,0,1.0,E_LowBar
18,128,red,AutoD1Cross,0,1.0,E_LowBar
18,2040,red,AutoD1Cross,0,1.0,E_LowBar
18,4920,blue,AutoD1Cross,0,1.0,E_LowBar
18,5413,red,AutoD1Cross,0,1.0,E_LowBar
19,1985,blue,AutoD1Cross,0,1.0,E_LowBar
19,2399,red,AutoD1Cross,0,1.0,E_LowBar
19,3814,red,AutoD1Cross,0,1.0,E_LowBar
19,3821,red,AutoD1Cross,0,1.0,E_LowBar
20,3324,red,AutoD1Cross,0,1.0,E_LowBar
20,3777,blue,AutoD1Cross,0,1.0,E_LowBar
20,5811,red,AutoD1Cross,0,1.0,E_LowBar
20,6084,red,AutoD1Cross,0,1.0,E_LowBar
21,48,red,AutoD1Cross,1,1.0,E_LowBar
21,1939,blue,AutoD1Cross,1,1.0,E_LowBar
21,3201,red,AutoD1Cross,0,1.0,E_LowBar
21,3266,red,AutoD1Cross,0,1.0,E_LowBar
21,5809,blue,AutoD1Cross,0,1.0,E_LowBar
22,144,red,AutoD1Cross,1,1.0,E_LowBar
22,245,red,AutoD1Cross,0,1.0,E_LowBar
22,337,red,AutoD1Cross,0,1.0,E_LowBar
22,451,blue,AutoD1Cross,0,1.0,E_LowBar
22,2603,blue,AutoD1Cross,0,1.0,E_LowBar
27,63,blue,AutoD1Cross,0,1.0,E_LowBar
27,2408,red,AutoD1Cross,0,1.0,E_LowBar
27,3821,red,AutoD1Cross,0,1.0,E_LowBar
27,4115,red,AutoD1Cross,0,1.0,E_LowBar
27,4920,blue,AutoD1Cross,0,1.0,E_LowBar
28,120,red,AutoD1Cross,1,1.0,E_LowBar
28,1708,blue,AutoD1Cross,1,1.0,E_LowBar
28,3010,red,AutoD1Cross,0,1.0,E_LowBar
28,3504,red,AutoD1Cross,0,1.0,E_LowBar
28,4256,blue,AutoD1Cross,0,1.0,E_LowBar
29,337,blue,AutoD1Cross,0,1.0,E_LowBar
29,554,blue,AutoD1Cross,0,1.0,E_LowBar
29,1939,red,AutoD1Cross,0,1.0,E_LowBar
29,1985,red,AutoD1Cross,1,1.0,E_LowBar
29,3324,red,AutoD1Cross,0,1.0,E_LowBar
30,1308,red,AutoD1Cross,0,1.0,E_LowBar
30,2040,red,AutoD1Cross,0,1.0,E_LowBar
30,2603,blue,AutoD1Cross,0,1.0,E_LowBar
30,4213,red,AutoD1Cross,1,1.0,E_LowBar
30,6084,blue,AutoD1Cross,0,1.0,E_LowBar
31,2399,blue,AutoD1Cross,0,1.0,E_LowBar
31,3266,blue,AutoD1Cross,0,1.0,E_LowBar
31,3777,red,AutoD1Cross,0,1.0,E_LowBar
31,4085,red,AutoD1Cross,0,1.0,E_LowBar
31,5492,red,AutoD1Cross,0,1.0,E_LowBar
32,1014,red,AutoD1Cross,0,1.0,E_LowBar
32,3821,red,AutoD1Cross,0,1.0,E_LowBar
32,4115,blue,AutoD1Cross,0,1.0,E_LowBar
32,4284,blue,AutoD1Cross,0,1.0,E_LowBar
32,5413,red,AutoD1Cross,0,1.0,E_LowBar
33,3000,red,AutoD1Cross,0,1.0,E_LowBar
33,3010,blue,AutoD1Cross,0,1.0,E_LowBar
33,3201,blue,AutoD1Cross,0,1.0,E_LowBar
33,5667,red,AutoD1Cross,1,1.0,E_LowBar
33,5811,red,AutoD1Cross,1,1.0,E_LowBar
34,279,blue,AutoD1Cross,0,1.0,E_LowBar
34,868,blue,AutoD1Cross,1,1.0,E_LowBar
34,1038,red,AutoD1Cross,0,1.0,E_LowBar
34,3484,red,AutoD1Cross,0,1.0,E_LowBar
35,245,blue,AutoD1Cross,0,1.0,E_LowBar
35,3492,red,AutoD1Cross,0,1.0,E_LowBar
35,3504,red,AutoD1Cross,0,1.0,E_LowBar
35,3814,blue,AutoD1Cross,0,1.0,E_LowBar
35,4920,red,AutoD1Cross,0,1.0,E_LowBar
36,120,blue,AutoD1Cross,1,1.0,E_LowBar
36,144,blue,AutoD1Cross,0,1.0,E_LowBar
36,2016,red,AutoD1Cross,0,1.0,E_LowBar
36,4028,red,AutoD1Cross,0,1.0,E_LowBar
36,5749,red,AutoD1Cross,0,1.0,E_LowBar
37,128,blue,AutoD1Cross,0,1.0,E_LowBar
37,451,red,AutoD1Cross,0,1.0,E_LowBar
37,4256,red,AutoD1Cross,0,1.0,E_LowBar
37,5484,red,AutoD1Cross,1,1.0,E_LowBar
38,2408,red,AutoD1Cross,0,1.0,E_LowBar
38,3000,red,AutoD1Cross,0,1.0,E_LowBar
38,4213,red,AutoD1Cross,0,1.0,E_LowBar
39,63,red,AutoD1Cross,0,1.0,E_LowBar
39,1985,red,AutoD1Cross,1,1.0,E_LowBar
39,3324,blue,AutoD1Cross,0,1.0,E_LowBar
39,4145,blue,AutoD1Cross,1,1.0,E_LowBar
39,6181,red,AutoD1Cross,0,1.0,E_LowBar
40,48,blue,AutoD1Cross,0,1.0,E_LowBar
40,279,red,AutoD1Cross,0,1.0,E_LowBar
40,1038,red,AutoD1Cross,0,1.0,E_LowBar
40,2040,blue,AutoD1Cross,0,1.0,E_LowBar
40,2399,red,AutoD1Cross,0,1.0,E_LowBar
41,2603,red,AutoD1Cross,1,1.0,E_LowBar
41,3010,red,AutoD1Cross,0,1.0,E_LowBar
41,3504,blue,AutoD1Cross,0,1.0,E_LowBar
41,4284,red,AutoD1Cross,0,1.0,E_LowBar
41,5492,blue,AutoD1Cross,0,1.0,E_LowBar
42,868,blue,AutoD1Cross,0,1.0,E_LowBar
42,3777,red,AutoD1Cross,0,1.0,E_LowBar
42,4028,red,AutoD1Cross,0,1.0,E_LowBar
42,4920,blue,AutoD1Cross,0,1.0,E_LowBar
42,5484,red,AutoD1Cross,1,1.0,E_LowBar
45,337,red,AutoD1Cross,0,1.0,E_LowBar
45,2051,blue,AutoD1Cross,0,1.0,E_LowBar
45,3260,red,AutoD1Cross,0,1.0,E_LowBar
45,3266,blue,AutoD1Cross,0,1.0,E_LowBar
45,4115,red,AutoD1Cross,1,1.0,E_LowBar
46,128,blue,AutoD1Cross,0,1.0,E_LowBar
46,245,red,AutoD1Cross,0,1.0,E_LowBar
46,3138,red,AutoD1Cross,0,1.0,E_LowBar
46,5749,red,AutoD1Cross,0,1.0,E_LowBar
46,5811,blue,AutoD1Cross,1,1.0,E_LowBar
47,554,blue,AutoD1Cross,0,1.0,E_LowBar
47,1708,red,AutoD1Cross,1,1.0,E_LowBar
47,2016,blue,AutoD1Cross,0,1.0,E_LowBar
47,4920,red,AutoD1Cross,0,1.0,E_LowBar
47,5809,red,AutoD1Cross,0,1.0,E_LowBar
48,120,blue,AutoD1Cross,1,1.0,E_LowBar
48,2603,blue,AutoD1Cross,0,1.0,E_LowBar
48,3821,red,AutoD1Cross,0,1.0,E_LowBar
48,4145,red,AutoD1Cross,1,1.0,E_LowBar
48,5667,red,AutoD1Cross,0,1.0,E_LowBar
49,63,blue,AutoD1Cross,0,1.0,E_LowBar
49,279,red,AutoD1Cross,0,1.0,E_LowBar
49,1249,red,AutoD1Cross,0,1.0,E_LowBar
49,3814,blue,AutoD1Cross,0,1.0,E_LowBar
49,6185,red,AutoD1Cross,0,1.0,E_LowBar
50,337,red,AutoD1Cross,0,1.0,E_LowBar
50,3492,red,AutoD1Cross,0,1.0,E_LowBar
50,4028,blue,AutoD1Cross,0,1.0,E_LowBar
50,6084,blue,AutoD1Cross,1,1.0,E_LowBar
50,6181,red,AutoD1Cross,0,1.0,E_LowBar
51,128,blue,AutoD1Cross,0,1.0,E_LowBar
51,451,blue,AutoD1Cross,0,1.0,E_LowBar
51,3138,red,AutoD1Cross,0,1.0,E_LowBar
51,3260,red,AutoD1Cross,0,1.0,E_LowBar
51,4284,red,AutoD1Cross,0,1.0,E_LowBar
52,1038,blue,AutoD1Cross,0,1.0,E_LowBar
52,1708,red,AutoD1Cross,1,1.0,E_LowBar
52,1939,red,AutoD1Cross,0,1.0,E_LowBar
52,3201,red,AutoD1Cross,0,1.0,E_LowBar
52,4115,blue,AutoD1Cross,1,1.0,E_LowBar
53,245,red,AutoD1Cross,0,1.0,E_LowBar
53,1014,red,AutoD1Cross,1,1.0,E_LowBar
53,2040,red,AutoD1Cross,0,1.0,E_LowBar
53,3324,blue,AutoD1Cross,1,1.0,E_LowBar
53,5809,blue,AutoD1Cross,0,1.0,E_LowBar
54,1308,red,AutoD1Cross,0,1.0,E_LowBar
54,3266,blue,AutoD1Cross,0,1.0,E_LowBar
54,5484,red,AutoD1Cross,1,1.0,E_LowBar
54,5492,blue,AutoD1Cross,0,1.0,E_LowBar
55,144,red,AutoD1Cross,0,1.0,E_LowBar
55,554,blue,AutoD1Cross,0,1.0,E_LowBar
55,3484,blue,AutoD1Cross,0,1.0,E_LowBar
55,5413,red,AutoD1Cross,0,1.0,E_LowBar
55,5811,red,AutoD1Cross,1,1.0,E_LowBar
56,868,blue,AutoD1Cross,1,1.0,E_LowBar
56,2016,red,AutoD1Cross,0,1.0,E_LowBar
56,2399,red,AutoD1Cross,0,1.0,E_LowBar
56,4085,red,AutoD1Cross,1,1.0,E_LowBar
56,4256,blue,AutoD1Cross,0,1.0,E_LowBar
59,2408,blue,AutoD1Cross,0,1.0,E_LowBar
59,3201,red,AutoD1Cross,0,1.0,E_LowBar
59,3814,blue,AutoD1Cross,0,1.0,E_LowBar
59,4145,red,AutoD1Cross,1,1.0,E_LowBar
59,5492,red,AutoD1Cross,0,1.0,E_LowBar
60,3010,red,AutoD1Cross,0,1.0,E_LowBar
60,3266,blue,AutoD1Cross,0,1.0,E_LowBar
60,4213,blue,AutoD1Cross,1,1.0,E_LowBar
60,4521,red,AutoD1Cross,0,1.0,E_LowBar
60,6185,red,AutoD1Cross,0,1.0,E_LowBar
61,1014,blue,AutoD1Cross,0,1.0,E_LowBar
61,1708,blue,AutoD1Cross,1,1.0,E_LowBar
61,2399,red,AutoD1Cross,0,1.0,E_LowBar
61,2603,red,AutoD1Cross,0,1.0,E_LowBar
61,3260,red,AutoD1Cross,0,1.0,E_LowBar
62,451,red,AutoD1Cross,0,1.0,E_LowBar
62,1038,red,AutoD1Cross,0,1.0,E_LowBar
62,2051,red,AutoD1Cross,0,1.0,E_LowBar
62,3504,blue,AutoD1Cross,0,1.0,E_LowBar
62,5749,blue,AutoD1Cross,1,1.0,E_LowBar
63,1985,red,AutoD1Cross,0,1.0,E_LowBar
63,3138,blue,AutoD1Cross,0,1.0,E_LowBar
63,3484,red,AutoD1Cross,0,1.0,E_LowBar
63,3492,red,AutoD1Cross,0,1.0,E_LowBar
63,3777,blue,AutoD1Cross,0,1.0,E_LowBar
64,144,blue,AutoD1Cross,0,1.0,E_LowBar
64,4085,red,AutoD1Cross,0,1.0,E_LowBar
64,4256,red,AutoD1Cross,0,1.0,E_LowBar
64,5809,blue,AutoD1Cross,0,1.0,E_LowBar
64,6181,red,AutoD1Cross,0,1.0,E_LowBar
65,1308,red,AutoD1Cross,0,1.0,E_LowBar
65,2016,red,AutoD1Cross,0,1.0,E_LowBar
65,3324,red,AutoD1Cross,1,1.0,E_LowBar
65,5413,blue,AutoD1Cross,0,1.0,E_LowBar
65,5667,blue,AutoD1Cross,0,1.0,E_LowBar
66,128,red,AutoD1Cross,0,1.0,E_LowBar
66,868,red,AutoD1Cross,1,1.0,E_LowBar
66,4115,blue,AutoD1Cross,0,1.0,E_LowBar
66,4521,red,AutoD1Cross,0,1.0,E_LowBar
66,6084,blue,AutoD1Cross,1,1.0,E_LowBar
1,120,red,AutoD1Reach,0,1.0,E_LowBar
1,451,blue,AutoD1Reach,0,1.0,E_LowBar
1,868,red,AutoD1Reach,0,1.0,E_LowBar
1,3324,red,AutoD1Reach,0,1.0,E_LowBar
1,5492,blue,AutoD1Reach,1,1.0,E_LowBar
1,5811,blue,AutoD1Reach,0,1.0,E_LowBar
2,3010,red,AutoD1Reach,0,1.0,E_LowBar
2,3260,blue,AutoD1Reach,0,1.0,E_LowBar
2,4085,blue,AutoD1Reach,0,1.0,E_LowBar
2,4145,red,AutoD1Reach,2,1.0,E_LowBar
2,5413,blue,AutoD1Reach,0,1.0,E_LowBar
3,1249,red,AutoD1Reach,0,1.0,E_LowBar
3,1308,red,AutoD1Reach,0,1.0,E_LowBar
3,3201,blue,AutoD1Reach,0,1.0,E_LowBar
3,4115,blue,AutoD1Reach,0,1.0,E_LowBar
3,5809,red,AutoD1Reach,0,1.0,E_LowBar
4,279,blue,AutoD1Reach,0,1.0,E_LowBar
4,337,red,AutoD1Reach,0,1.0,E_LowBar
4,554,blue,AutoD1Reach,0,1.0,E_LowBar
4,2408,red,AutoD1Reach,0,1.0,E_LowBar
5,128,red,AutoD1Reach,0,1.0,E_LowBar
5,5667,blue,AutoD1Reach,0,1.0,E_LowBar
5,5749,red,AutoD1Reach,0,1.0,E_LowBar
7,63,red,AutoD1Reach,0,1.0,E_LowBar
7,1708,red,AutoD1Reach,1,1.0,E_LowBar
7,2040,blue,AutoD1Reach,1,1.0,E_LowBar
7,4028,red,AutoD1Reach,5,1.0,E_LowBar
7,4521,blue,AutoD1Reach,1,1.0,E_LowBar
8,48,red,AutoD1Reach,1,1.0,E_LowBar
8,2603,red,AutoD1Reach,0,1.0,E_LowBar
8,4256,blue,AutoD1Reach,0,1.0,E_LowBar
9,144,red,AutoD1Reach,1,1.0,E_LowBar
9,1985,blue,AutoD1Reach,1,1.0,E_LowBar
9,3821,blue,AutoD1Reach,1,1.0,E_LowBar
9,6084,red,AutoD1Reach,0,1.0,E_LowBar
10,337,red,AutoD1Reach,0,1.0,E_LowBar
10,1014,red,AutoD1Reach,0,1.0,E_LowBar
10,1308,blue,AutoD1Reach,0,1.0,E_LowBar
10,2399,red,AutoD1Reach,0,1.0,E_LowBar
10,2408,blue,AutoD1Reach,0,1.0,E_LowBar
11,868,red,AutoD1Reach,1,1.0,E_LowBar
11,1939,blue,AutoD1Reach,0,1.0,E_LowBar
11,3010,red,AutoD1Reach,0,1.0,E_LowBar
11,3492,blue,AutoD1Reach,0,1.0,E_LowBar
11,5809,red,AutoD1Reach,0,1.0,E_LowBar
12,1708,blue,AutoD1Reach,0,1.0,E_LowBar
12,3324,blue,AutoD1Reach,0,1.0,E_LowBar
12,3484,red,AutoD1Reach,0,1.0,E_LowBar
12,3814,red,AutoD1Reach,0,1.0,E_LowBar
12,4028,red,AutoD1Reach,0,1.0,E_LowBar
13,451,red,AutoD1Reach,0,1.0,E_LowBar
13,2016,red,AutoD1Reach,0,1.0,E_LowBar
13,2603,blue,AutoD1Reach,1,1.0,E_LowBar
13,3777,blue,AutoD1Reach,0,1.0,E_LowBar
13,4115,red,AutoD1Reach,1,1.0,E_LowBar
14,3201,blue,AutoD1Reach,0,1.0,E_LowBar
14,4256,red,AutoD1Reach,0,1.0,E_LowBar
14,4521,red,AutoD1Reach,0,1.0,E_LowBar
15,48,red,AutoD1Reach,1,1.0,E_LowBar
15,1038,red,AutoD1Reach,0,1.0,E_LowBar
15,3138,red,AutoD1Reach,0,1.0,E_LowBar
15,3260,blue,AutoD1Reach,0,1.0,E_LowBar
15,4145,blue,AutoD1Reach,1,1.0,E_LowBar
16,554,red,AutoD1Reach,1,1.0,E_LowBar
16,3266,red,AutoD1Reach,0,1.0,E_LowBar
16,4085,blue,AutoD1Reach,1,1.0,E_LowBar
16,4284,red,AutoD1Reach,0,1.0,E_LowBar
16,5667,blue,AutoD1Reach,0,1.0,E_LowBar
17,245,blue,AutoD1Reach,0,1.0,E_LowBar
17,279,blue,AutoD1Reach,0,1.0,E_LowBar
17,4213,red,AutoD1Reach,0,1.0,E_LowBar
17,5484,red,AutoD1Reach,1,1.0,E_LowBar
17,5492,red,AutoD1Reach,0,1.0,E_LowBar
18,128,red,AutoD1Reach,0,1.0,E_LowBar
18,2040,red,AutoD1Reach,0,1.0,E_LowBar
18,4920,blue,AutoD1Reach,0,1.0,E_LowBar
18,5413,red,AutoD1Reach,0,1.0,E_LowBar
19,1985,blue,AutoD1Reach,0,1.0,E_LowBar
19,2399,red,AutoD1Reach,0,1.0,E_LowBar
19,3814,red,AutoD1Reach,0,1.0,E_LowBar
19,3821,red,AutoD1Reach,0,1.0,E_LowBar
20,3324,red,AutoD1Reach,0,1.0,E_LowBar
20,3777,blue,AutoD1Reach,0,1.0,E_LowBar
20,5811,red,AutoD1Reach,0,1.0,E_LowBar
20,6084,red,AutoD1Reach,0,1.0,E_LowBar
21,48,red,AutoD1Reach,1,1.0,E_LowBar
21,1939,blue,AutoD1Reach,1,1.0,E_LowBar
21,3201,red,AutoD1Reach,0,1.0,E_LowBar
21,3266,red,AutoD1Reach,0,1.0,E_LowBar
21,5809,blue,AutoD1Reach,0,1.0,E_LowBar
22,144,red,AutoD1Reach,1,1.0,E_LowBar
22,245,red,AutoD1Reach,0,1.0,E_LowBar
22,337,red,AutoD1Reach,1,1.0,E_LowBar
22,451,blue,AutoD1Reach,0,1.0,E_LowBar
22,2603,blue,AutoD1Reach,0,1.0,E_LowBar
27,63,blue,AutoD1Reach,0,1.0,E_LowBar
27,2408,red,AutoD1Reach,0,1.0,E_LowBar
27,3821,red,AutoD1Reach,0,1.0,E_LowBar
27,4115,red,AutoD1Reach,1,1.0,E_LowBar
27,4920,blue,AutoD1Reach,0,1.0,E_LowBar
28,120,red,AutoD1Reach,1,1.0,E_LowBar
28,1708,blue,AutoD1Reach,1,1.0,E_LowBar
28,3010,red,AutoD1Reach,0,1.0,E_LowBar
28,3504,red,AutoD1Reach,0,1.0,E_LowBar
28,4256,blue,AutoD1Reach,0,1.0,E_LowBar
29,337,blue,AutoD1Reach,0,1.0,E_LowBar
29,554,blue,AutoD1Reach,0,1.0,E_LowBar
29,1939,red,AutoD1Reach,0,1.0,E_LowBar
29,1985,red,AutoD1Reach,1,1.0,E_LowBar
29,3324,red,AutoD1Reach,0,1.0,E_LowBar
30,1308,red,AutoD1Reach,0,1.0,E_LowBar
30,2040,red,AutoD1Reach,0,1.0,E_LowBar
30,2603,blue,AutoD1Reach,0,1.0,E_LowBar
30,4213,red,AutoD1Reach,1,1.0,E_LowBar
30,6084,blue,AutoD1Reach,0,1.0,E_LowBar
31,2399,blue,AutoD1Reach,0,1.0,E_LowBar
31,3266,blue,AutoD1Reach,0,1.0,E_LowBar
31,3777,red,AutoD1Reach,0,1.0,E_LowBar
31,4085,red,AutoD1Reach,0,1.0,E_LowBar
31,5492,red,AutoD1Reach,0,1.0,E_LowBar
32,1014,red,AutoD1Reach,0,1.0,E_LowBar
32,3821,red,AutoD1Reach,0,1.0,E_LowBar
32,4115,blue,AutoD1Reach,0,1.0,E_LowBar
32,4284,blue,AutoD1Reach,0,1.0,E_LowBar
32,5413,red,AutoD1Reach,0,1.0,E_LowBar
33,3000,red,AutoD1Reach,0,1.0,E_LowBar
33,3010,blue,AutoD1Reach,0,1.0,E_LowBar
33,3201,blue,AutoD1Reach,0,1.0,E_LowBar
33,5667,red,AutoD1Reach,1,1.0,E_LowBar
33,5811,red,AutoD1Reach,1,1.0,E_LowBar
34,279,blue,AutoD1Reach,0,1.0,E_LowBar
34,868,blue,AutoD1Reach,1,1.0,E_LowBar
34,1038,red,AutoD1Reach,0,1.0,E_LowBar
34,3484,red,AutoD1Reach,0,1.0,E_LowBar
35,245,blue,AutoD1Reach,0,1.0,E_LowBar
35,3492,red,AutoD1Reach,0,1.0,E_LowBar
35,3504,red,AutoD1Reach,0,1.0,E_LowBar
35,3814,blue,AutoD1Reach,0,1.0,E_LowBar
35,4920,red,AutoD1Reach,0,1.0,E_LowBar
36,120,blue,AutoD1Reach,1,1.0,E_LowBar
36,144,blue,AutoD1Reach,0,1.0,E_LowBar
36,2016,red,AutoD1Reach,0,1.0,E_LowBar
36,4028,red,AutoD1Reach,0,1.0,E_LowBar
36,5749,red,AutoD1Reach,1,1.0,E_LowBar
37,128,blue,AutoD1Reach,0,1.0,E_LowBar
37,451,red,AutoD1Reach,0,1.0,E_LowBar
37,4256,red,AutoD1Reach,0,1.0,E_LowBar
37,5484,red,AutoD1Reach,1,1.0,E_LowBar
38,2408,red,AutoD1Reach,0,1.0,E_LowBar
38,3000,red,AutoD1Reach,0,1.0,E_LowBar
38,4213,red,AutoD1Reach,0,1.0,E_LowBar
39,63,red,AutoD1Reach,0,1.0,E_LowBar
39,1985,red,AutoD1Reach,1,1.0,E_LowBar
39,3324,blue,AutoD1Reach,0,1.0,E_LowBar
39,4145,blue,AutoD1Reach,1,1.0,E_LowBar
39,6181,red,AutoD1Reach,0,1.0,E_LowBar
40,48,blue,AutoD1Reach,0,1.0,E_LowBar
40,279,red,AutoD1Reach,0,1.0,E_LowBar
40,1038,red,AutoD1Reach,0,1.0,E_LowBar
40,2040,blue,AutoD1Reach,0,1.0,E_LowBar
40,2399,red,AutoD1Reach,0,1.0,E_LowBar
41,2603,red,AutoD1Reach,1,1.0,E_LowBar
41,3010,red,AutoD1Reach,0,1.0,E_LowBar
41,3504,blue,AutoD1Reach,0,1.0,E_LowBar
41,4284,red,AutoD1Reach,0,1.0,E_LowBar
41,5492,blue,AutoD1Reach,0,1.0,E_LowBar
42,868,blue,AutoD1Reach,0,1.0,E_LowBar
42,3777,red,AutoD1Reach,0,1.0,E_LowBar
42,4028,red,AutoD1Reach,0,1.0,E_LowBar
42,4920,blue,AutoD1Reach,0,1.0,E_LowBar
42,5484,red,AutoD1Reach,1,1.0,E_LowBar
45,337,red,AutoD1Reach,0,1.0,E_LowBar
45,2051,blue,AutoD1Reach,0,1.0,E_LowBar
45,3260,red,AutoD1Reach,0,1.0,E_LowBar
45,3266,blue,AutoD1Reach,0,1.0,E_LowBar
45,4115,red,AutoD1Reach,1,1.0,E_LowBar
46,128,blue,AutoD1Reach,0,1.0,E_LowBar
46,245,red,AutoD1Reach,0,1.0,E_LowBar
46,3138,red,AutoD1Reach,0,1.0,E_LowBar
46,5749,red,AutoD1Reach,1,1.0,E_LowBar
46,5811,blue,AutoD1Reach,1,1.0,E_LowBar
47,554,blue,AutoD1Reach,0,1.0,E_LowBar
47,1708,red,AutoD1Reach,2,1.0,E_LowBar
47,2016,blue,AutoD1Reach,0,1.0,E_LowBar
47,4920,red,AutoD1Reach,0,1.0,E_LowBar
47,5809,red,AutoD1Reach,0,1.0,E_LowBar
48,120,blue,AutoD1Reach,1,1.0,E_LowBar
