,Match,Team,Alliance,measurement,value,dloc,DefType
0,1,868,red,AutoD1Cross,1,1.0,E_LowBar
1,1,868,red,AutoD1Cross,0,1.0,E_LowBar
2,11,3010,red,AutoD1Cross,0,1.0,E_LowBar
3,11,3010,red,AutoD1Cross,0,1.0,E_LowBar
4,11,5809,red,AutoD1Cross,0,1.0,E_LowBar
5,11,868,red,AutoD1Cross,1,1.0,E_LowBar
6,11,1939,blue,AutoD1Cross,0,1.0,E_LowBar
7,11,1939,blue,AutoD1Cross,0,1.0,E_LowBar
8,11,3492,blue,AutoD1Cross,0,1.0,E_LowBar
9,12,4028,red,AutoD1Cross,0,1.0,E_LowBar
10,12,3814,red,AutoD1Cross,0,1.0,E_LowBar
11,12,3484,red,AutoD1Cross,0,1.0,E_LowBar
12,12,1708,blue,AutoD1Cross,0,1.0,E_LowBar
13,12,3324,blue,AutoD1Cross,0,1.0,E_LowBar
14,13,451,red,AutoD1Cross,0,1.0,E_LowBar
15,13,2016,red,AutoD1Cross,0,1.0,E_LowBar
16,13,4115,red,AutoD1Cross,1,1.0,E_LowBar
17,13,3777,blue,AutoD1Cross,0,1.0,E_LowBar
18,13,2603,blue,AutoD1Cross,1,1.0,E_LowBar
19,14,3201,blue,AutoD1Cross,0,1.0,E_LowBar
20,14,3201,blue,AutoD1Cross,0,1.0,E_LowBar
21,15,1038,red,AutoD1Cross,0,1.0,E_LowBar
22,15,1038,red,AutoD1Cross,0,1.0,E_LowBar
23,16,3266,red,AutoD1Cross,0,1.0,E_LowBar
24,16,3266,red,AutoD1Cross,0,1.0,E_LowBar
25,16,554,red,AutoD1Cross,0,1.0,E_LowBar
26,16,554,red,AutoD1Cross,1,1.0,E_LowBar
27,1,120,red,AutoD1Cross,0,1.0,E_LowBar
28,1,120,red,AutoD1Cross,0,1.0,E_LowBar
29,1,3324,red,AutoD1Cross,4,1.0,E_LowBar
30,1,3324,red,AutoD1Cross,0,1.0,E_LowBar
31,1,451,blue,AutoD1Cross,0,1.0,E_LowBar
32,1,5492,blue,AutoD1Cross,0,1.0,E_LowBar
33,1,5492,blue,AutoD1Cross,1,1.0,E_LowBar
34,1,5492,blue,AutoD1Cross,0,1.0,E_LowBar
35,1,5811,blue,AutoD1Cross,0,1.0,E_LowBar
36,1,5811,blue,AutoD1Cross,1,1.0,E_LowBar
37,2,4145,red,AutoD1Cross,0,1.0,E_LowBar
38,2,3010,red,AutoD1Cross,0,1.0,E_LowBar
39,2,3010,red,AutoD1Cross,0,1.0,E_LowBar
40,2,4085,blue,AutoD1Cross,1,1.0,E_LowBar
41,2,5413,blue,AutoD1Cross,0,1.0,E_LowBar
42,2,3260,blue,AutoD1Cross,0,1.0,E_LowBar
43,3,1249,red,AutoD1Cross,0,1.0,E_LowBar
44,3,5809,red,AutoD1Cross,0,1.0,E_LowBar
45,3,1308,red,AutoD1Cross,0,1.0,E_LowBar
46,3,4115,blue,AutoD1Cross,0,1.0,E_LowBar
47,3,4115,blue,AutoD1Cross,1,1.0,E_LowBar
48,3,3201,blue,AutoD1Cross,0,1.0,E_LowBar
49,4,337,red,AutoD1Cross,0,1.0,E_LowBar
50,4,2408,red,AutoD1Cross,0,1.0,E_LowBar
51,4,279,blue,AutoD1Cross,0,1.0,E_LowBar
52,4,554,blue,AutoD1Cross,0,1.0,E_LowBar
53,5,5749,red,AutoD1Cross,0,1.0,E_LowBar
54,5,128,red,AutoD1Cross,0,1.0,E_LowBar
55,5,5667,blue,AutoD1Cross,0,1.0,E_LowBar
56,27,3821,red,AutoD1Cross,0,1.0,E_LowBar
57,27,2408,red,AutoD1Cross,0,1.0,E_LowBar
