Match,Team,Alliance,measurement,value,dloc,DefType
77,5667,red,AutoD1Cross,0,1.0,E_LowBar
77,451,red,AutoD1Cross,0,1.0,E_LowBar
77,3484,red,AutoD1Cross,1,1.0,E_LowBar
77,4256,blue,AutoD1Cross,0,1.0,E_LowBar
77,1939,blue,AutoD1Cross,1,1.0,E_LowBar
77,2040,blue,AutoD1Cross,0,1.0,E_LowBar
78,3324,red,AutoD1Cross,0,1.0,E_LowBar
78,48,red,AutoD1Cross,1,1.0,E_LowBar
78,279,red,AutoD1Cross,0,1.0,E_LowBar
78,4521,blue,AutoD1Cross,0,1.0,E_LowBar
78,3201,blue,AutoD1Cross,0,1.0,E_LowBar
78,2016,blue,AutoD1Cross,0,1.0,E_LowBar
79,4920,red,AutoD1Cross,0,1.0,E_LowBar
79,5811,red,AutoD1Cross,1,1.0,E_LowBar
79,3814,red,AutoD1Cross,1,1.0,E_LowBar
79,5809,blue,AutoD1Cross,0,1.0,E_LowBar
79,1038,blue,AutoD1Cross,0,1.0,E_LowBar
79,4284,blue,AutoD1Cross,0,1.0,E_LowBar
80,2051,red,AutoD1Cross,1,1.0,E_LowBar
80,3138,red,AutoD1Cross,0,1.0,E_LowBar
80,1014,red,AutoD1Cross,0,1.0,E_LowBar
80,4085,blue,AutoD1Cross,0,1.0,E_LowBar
80,120,blue,AutoD1Cross,1,1.0,E_LowBar
80,3266,blue,AutoD1Cross,0,1.0,E_LowBar
81,6181,red,AutoD1Cross,1,1.0,E_LowBar
81,1708,red,AutoD1Cross,0,1.0,E_LowBar
81,3504,red,AutoD1Cross,0,1.0,E_LowBar
81,337,blue,AutoD1Cross,0,1.0,E_LowBar
81,5749,blue,AutoD1Cross,1,1.0,E_LowBar
81,3000,blue,AutoD1Cross,0,1.0,E_LowBar
82,4115,red,AutoD1Cross,0,1.0,E_LowBar
82,144,red,AutoD1Cross,1,1.0,E_LowBar
82,5492,red,AutoD1Cross,0,1.0,E_LowBar
82,3492,blue,AutoD1Cross,0,1.0,E_LowBar
